timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,spent,returned,mtm,unrealized_pnl
1780394105692,1,btc-updown-5m-1780394100,SELL,UP,6.25000000,shares,6.25000000,3.8750,0.6200,tvds_strong_grid_exit_step_1_0.62_zone_near_usd_8.96_pct_0.0129_vel_neutral,true,59.1500,294,2.00,69305.5672,0.354722,0.304056,0.011066,69296.6090,8.9583,0.012927,0.6200,0.6300,0.3700,0.4100,25.00000000,25.50000000,25.5000,0.0000,24.9350,-0.5650
1780394114641,1,btc-updown-5m-1780394100,SELL,UP,6.25000000,shares,6.25000000,4.5000,0.7200,tvds_strong_grid_exit_step_2_0.72_zone_moderate_usd_27.23_pct_0.0393_vel_neutral,true,59.1500,285,5.00,69323.8433,1.239373,1.024950,-0.089529,69296.6090,27.2343,0.039301,0.7200,0.7300,0.2800,0.3100,18.75000000,25.50000000,25.5000,3.8750,20.6400,-0.9850
1780394114657,1,btc-updown-5m-1780394100,SELL,UP,3.75000000,shares,3.75000000,2.8125,0.7500,tvds_strong_grid_exit_step_3_0.75_zone_moderate_usd_27.23_pct_0.0393_vel_neutral,true,59.1500,285,5.00,69323.8433,1.239373,1.024950,-0.089529,69296.6090,27.2343,0.039301,0.7500,0.7600,0.2500,0.3100,12.50000000,25.50000000,25.5000,8.3750,15.7500,-1.3750
1780394189465,1,btc-updown-5m-1780394100,SELL,DOWN,25.50000000,shares,25.50000000,7.6500,0.3000,tvds_weak_exit_mid_moderate_take_30_bid_ge_0.30_zone_moderate_usd_31.31_pct_0.0452_vel_neutral,true,59.1500,210,30.00,69327.9141,-0.992735,-0.628565,0.204237,69296.6090,31.3052,0.045176,0.7000,0.7100,0.3000,0.3100,8.75000000,25.50000000,25.5000,11.1875,13.7750,-0.5375
1780394486455,2,btc-updown-5m-1780394400,SELL,DOWN,6.25000000,shares,6.25000000,3.8750,0.6200,tvds_strong_grid_exit_step_1_0.62_zone_near_usd_4.39_pct_0.0063_vel_neutral,true,59.1500,213,29.00,69317.7878,-0.478793,-0.331956,-0.031675,69322.1784,-4.3906,-0.006334,0.3800,0.3900,0.6200,0.6300,25.00000000,25.00000000,25.5000,0.0000,25.0000,-0.5000
1780394499649,2,btc-updown-5m-1780394400,SELL,DOWN,6.25000000,shares,6.25000000,4.5000,0.7200,tvds_strong_grid_exit_step_2_0.72_zone_near_usd_20.47_pct_0.0295_vel_neutral,true,59.1500,200,33.33,69301.7105,-0.880222,-0.730529,0.063736,69322.1784,-20.4679,-0.029526,0.2800,0.3000,0.7200,0.7300,25.00000000,18.75000000,25.5000,3.8750,20.5000,-1.1250
1780394527239,2,btc-updown-5m-1780394400,SELL,DOWN,3.75000000,shares,3.75000000,2.8500,0.7600,tvds_strong_grid_exit_step_3_0.75_zone_near_usd_22.75_pct_0.0328_vel_neutral,true,59.1500,172,42.67,69299.4245,-0.020676,-0.401115,0.034917,69322.1784,-22.7540,-0.032824,0.2200,0.2400,0.7600,0.7800,25.00000000,12.50000000,25.5000,8.3750,15.0000,-2.1250
1780394579145,2,btc-updown-5m-1780394400,SELL,UP,25.00000000,shares,25.00000000,5.0000,0.2000,tvds_weak_exit_late_moderate_take_20_bid_ge_0.20_zone_moderate_usd_47.20_pct_0.0681_vel_neutral,true,59.1500,120,60.00,69274.9793,0.756050,1.295408,-0.096368,69322.1784,-47.1991,-0.068087,0.2000,0.2100,0.8500,0.8600,25.00000000,8.75000000,25.5000,11.2250,12.4375,-1.8375
1780394795147,3,btc-updown-5m-1780394700,SELL,DOWN,6.37500000,shares,6.37500000,3.7612,0.5900,tvds_strong_grid_exit_step_1_0.58_zone_near_usd_4.52_pct_0.0065_vel_neutral,true,59.1500,204,32.00,69412.0341,-0.397613,-0.429965,0.039471,69416.5508,-4.5167,-0.006507,0.4000,0.4100,0.5900,0.6000,24.51923077,25.50000000,25.5000,0.0000,24.8527,-0.6473
1780394802666,3,btc-updown-5m-1780394700,SELL,UP,6.12980769,shares,6.12980769,3.6166,0.5900,tvds_strong_grid_exit_step_1_0.58_zone_near_usd_7.01_pct_0.0101_vel_neutral,true,59.1500,197,34.33,69409.5418,-0.090279,-0.070255,0.278304,69416.5508,-7.0089,-0.010097,0.5900,0.6000,0.4000,0.4700,24.51923077,19.12500000,25.5000,3.7612,22.1163,0.3776
1780394810097,3,btc-updown-5m-1780394700,SELL,UP,18.38942308,shares,18.38942308,11.9531,0.6500,tvds_weak_exit_mid_near_strike_wait_reversal_bid_ge_0.65_zone_near_usd_15.72_pct_0.0226_vel_neutral,true,59.1500,189,37.00,69432.2732,0.870333,1.117360,-0.110174,69416.5508,15.7225,0.022649,0.6500,0.6600,0.3600,0.3700,18.38942308,19.12500000,25.5000,7.3778,18.8381,0.7160
1780395010471,4,btc-updown-5m-1780395000,SELL,DOWN,6.25000000,shares,6.25000000,3.9375,0.6300,tvds_strong_grid_exit_step_1_0.62_zone_near_usd_13.62_pct_0.0196_vel_neutral,true,54.3071,289,3.67,69519.0110,-0.995938,-0.658994,-0.072510,69532.6284,-13.6173,-0.019584,0.3700,0.4100,0.6300,0.6400,25.00000000,25.00000000,25.5000,0.0000,25.0000,-0.5000
