timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,paired_shares,spent,returned,terminal_floor,terminal_floor_gap,mtm,unrealized_pnl
1780410959368,1,btc-updown-5m-1780410900,SELL,UP,2.84034653,shares,2.84034653,2.1587,0.7600,tvds_strong_grid_exit_step_1_0.62_p_0.73_edge_0.03_zone_far_usd_100.72_pct_0.1482_redeem_hold_runner_vel_neutral,true,154.1071,240,20.00,68042.4980,0.483611,1.101906,-0.035821,67941.7755,100.7225,0.148248,0.7600,0.7700,0.2300,0.2400,11.36138614,11.36138614,11.36138614,11.4750,0.0000,11.3614,-0.1136,11.2478,-0.2272
1780410963873,1,btc-updown-5m-1780410900,SELL,UP,2.84034653,shares,2.84034653,2.1871,0.7700,tvds_strong_grid_exit_step_2_0.72_p_0.53_edge_0.24_zone_moderate_usd_82.63_pct_0.1216_vel_neutral,true,154.1071,236,21.33,68024.4023,-0.733990,-0.679575,-0.556460,67941.7755,82.6268,0.121614,0.7700,0.7800,0.2300,0.2800,8.52103960,11.36138614,8.52103960,11.4750,2.1587,10.6797,-0.7953,9.1743,-0.1420
1780410968161,1,btc-updown-5m-1780410900,SELL,UP,1.70420792,shares,1.70420792,1.2782,0.7500,tvds_strong_grid_exit_step_3_0.75_p_0.44_edge_0.31_zone_moderate_usd_69.32_pct_0.1020_vel_neutral,true,154.1071,231,23.00,68011.0989,-1.266173,-1.403915,0.409313,67941.7755,69.3233,0.102033,0.7500,0.7600,0.2500,0.2700,5.68069307,11.36138614,5.68069307,11.4750,4.3457,10.0264,-1.4486,7.1009,-0.0284
1780411188951,1,btc-updown-5m-1780410900,SELL,DOWN,7.38490099,shares,7.38490099,2.0678,0.2800,emergency_15pct_time_stop_otm_surplus_bid_ge_0.20_p_0.27_keep_paired_3.9765,true,154.1071,11,96.33,67985.5160,-0.355709,-0.826690,-0.547709,67941.7755,43.7405,0.064379,0.7100,0.7200,0.2800,0.2900,3.97648515,11.36138614,3.97648515,11.4750,5.6239,9.6004,-1.8746,6.0045,0.1534
1780411189186,1,btc-updown-5m-1780410900,SELL,DOWN,0.47717822,shares,0.47717822,0.1575,0.3300,tvds_weak_exit_expiration_unconditional_dump_08_bid_ge_0.08_p_0.28_edge_0.05_zone_moderate_usd_40.07_pct_0.0590_vel_neutral_sell_0.4772_reserve_3.4993_insurance_0.00,true,154.1071,10,96.67,67981.8491,-0.369670,-1.053780,-0.227090,67941.7755,40.0736,0.058982,0.6500,0.6700,0.3300,0.3500,3.97648515,3.97648515,3.97648515,11.4750,7.6917,11.6681,0.1931,3.8970,0.1136
1780411189207,1,btc-updown-5m-1780410900,SELL,DOWN,0.41991683,shares,0.41991683,0.1386,0.3300,tvds_weak_exit_expiration_unconditional_dump_08_bid_ge_0.08_p_0.28_edge_0.05_zone_moderate_usd_40.07_pct_0.0590_vel_neutral_sell_0.4199_reserve_3.0794_insurance_0.00,true,154.1071,10,96.67,67981.8491,-0.369670,-1.053780,-0.227090,67941.7755,40.0736,0.058982,0.6500,0.6700,0.3300,0.3500,3.97648515,3.49930693,3.49930693,11.4750,7.8491,11.3484,-0.1266,3.7395,0.1136
1780411189208,1,btc-updown-5m-1780410900,SELL,DOWN,0.36952681,shares,0.36952681,0.1219,0.3300,tvds_weak_exit_expiration_unconditional_dump_08_bid_ge_0.08_p_0.28_edge_0.05_zone_moderate_usd_40.07_pct_0.0590_vel_neutral_sell_0.3695_reserve_2.7099_insurance_0.00,true,154.1071,10,96.67,67981.8491,-0.369670,-1.053780,-0.227090,67941.7755,40.0736,0.058982,0.7200,0.7300,0.3300,0.3500,3.97648515,3.07939010,3.07939010,11.4750,7.9877,11.0671,-0.4079,3.8793,0.3920
1780411189208,1,btc-updown-5m-1780410900,SELL,DOWN,0.32518359,shares,0.32518359,0.1073,0.3300,tvds_weak_exit_expiration_unconditional_dump_08_bid_ge_0.08_p_0.28_edge_0.05_zone_moderate_usd_40.07_pct_0.0590_vel_neutral_capital_protected_0.71_sell_0.3252_reserve_2.3847_insurance_0.00,true,154.1071,10,96.67,67981.8491,-0.369670,-1.053780,-0.227090,67941.7755,40.0736,0.058982,0.6500,0.6700,0.3300,0.3500,3.97648515,2.70986329,2.70986329,11.4750,8.1096,10.8195,-0.6555,3.4790,0.1136
1780411189208,1,btc-updown-5m-1780410900,SELL,DOWN,0.28616156,shares,0.28616156,0.0944,0.3300,tvds_weak_exit_expiration_unconditional_dump_08_bid_ge_0.08_p_0.28_edge_0.05_zone_moderate_usd_40.07_pct_0.0590_vel_neutral_capital_protected_0.72_sell_0.2862_reserve_2.0985_insurance_0.00,true,154.1071,10,96.67,67981.8491,-0.369670,-1.053780,-0.227090,67941.7755,40.0736,0.058982,0.6500,0.6700,0.3300,0.3500,3.97648515,2.38467969,2.38467969,11.4750,8.2170,10.6016,-0.8734,3.3717,0.1136
1780411189209,1,btc-updown-5m-1780410900,SELL,DOWN,0.25182218,shares,0.25182218,0.0831,0.3300,tvds_weak_exit_expiration_unconditional_dump_08_bid_ge_0.08_p_0.28_edge_0.05_zone_moderate_usd_40.07_pct_0.0590_vel_neutral_capital_protected_0.72_sell_0.2518_reserve_1.8467_insurance_0.00,true,154.1071,10,96.67,67981.8491,-0.369670,-1.053780,-0.227090,67941.7755,40.0736,0.058982,0.6500,0.6700,0.3300,0.3500,3.97648515,2.09851813,2.09851813,11.4750,8.3114,10.4099,-1.0651,3.2772,0.1136
