timestamp,window_id,slug,reason,entry_mode,entry_side,current_atr,up_ask,down_ask,budget_multiplier,cheaper_side_ratio,total_budget,buy_up_usd,buy_up_shares,buy_down_usd,buy_down_shares
1780527479097,2,btc-updown-5m-1780527600,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.070_discount_req_0.035_combined_1.03_atr_102.76_atr_regime_storm_budget_mult_0.10,one_side,DOWN,102.7571,0.5500,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780527783100,3,btc-updown-5m-1780527900,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_-0.010_discount_req_0.035_combined_1.01_atr_102.76_atr_regime_storm_budget_mult_0.10,one_side,DOWN,102.7571,0.5000,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780528080116,4,btc-updown-5m-1780528200,d1_one_leg_down_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.040_discount_req_0.035_combined_1.02_atr_102.76_atr_regime_storm_budget_mult_0.10,one_side,DOWN,102.7571,0.5300,0.4900,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.12244898
1780528379120,5,btc-updown-5m-1780528500,d1_one_leg_down_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_135.04_atr_regime_storm_budget_mult_0.10,one_side,DOWN,135.0357,0.5100,0.5100,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,5.88235294
1780528688122,6,btc-updown-5m-1780528800,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_131.08_atr_regime_storm_budget_mult_0.10,one_side,DOWN,131.0786,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780528979123,7,btc-updown-5m-1780529100,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_111.18_atr_regime_storm_budget_mult_0.10,one_side,DOWN,111.1786,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780529279128,8,btc-updown-5m-1780529400,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_104.88_atr_regime_storm_budget_mult_0.10,one_side,DOWN,104.8786,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780529579133,9,btc-updown-5m-1780529700,d1_one_leg_down_ask_0.48_fair_0.500_edge_+0.020_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.050_discount_req_0.035_combined_1.01_atr_93.21_atr_regime_storm_budget_mult_0.10,one_side,DOWN,93.2143,0.5300,0.4800,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.25000000
1780529879138,10,btc-updown-5m-1780530000,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_101.15_atr_regime_storm_budget_mult_0.10,one_side,DOWN,101.1500,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
1780530208134,11,btc-updown-5m-1780530300,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_97.47_atr_regime_storm_budget_mult_0.10,one_side,DOWN,97.4714,0.5200,0.5000,0.1000,0.5000,3.0000,0.0000,0.00000000,3.0000,6.00000000
