timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,paired_shares,spent,returned,terminal_floor,terminal_floor_gap,mtm,unrealized_pnl
1780576093562,2,btc-updown-5m-1780575900,BUY,DOWN,1.02941176,usd,2.05882353,1.0294,0.5000,d1_cross_hedge_buy_down_phase_late_atr_storm_cross_now_false_baseline_BELOW_relation_BELOW_first_p_0.664_first_otm_pct_0.0198_first_otm_z_0.09_hedge_now_0.00_hedge_target_0.35_hedge_gap_0.35_first_0.51_opp_0.50_pair_cost_1.01_max_pair_1.04_shares_2.0588,true,100.7929,106,64.67,63236.9799,3.944648,2.619487,-1.445411,63249.5210,-12.5411,-0.019828,0.5100,0.5600,0.4900,0.5000,5.88235294,0.00000000,0.00000000,3.0000,0.0000,0.0000,-3.0000,3.0000,0.0000
1780576154045,2,btc-updown-5m-1780575900,SELL,UP,3.82352941,shares,3.82352941,1.1088,0.2900,d1_weak_salvage_sell_up_phase_final_atr_storm_crossed_first_true_bid_0.29_p_0.264_otm_pct_0.0932_otm_z_0.68_sell_3.8235_keep_paired_2.0588_time_85.0,true,100.7929,45,85.00,63190.5933,0.191746,0.342711,0.311828,63249.5210,-58.9277,-0.093167,0.2900,0.3200,0.6800,0.7500,5.88235294,2.05882353,2.05882353,4.0294,0.0000,2.0588,-1.9706,3.1059,-0.9235
1780576294342,3,btc-updown-5m-1780576200,BUY,DOWN,1.09117647,usd,2.05882353,1.0912,0.5300,d1_cross_hedge_buy_down_phase_mid_atr_storm_cross_now_true_baseline_ABOVE_relation_BELOW_first_p_0.603_first_otm_pct_0.0354_first_otm_z_0.08_hedge_now_0.00_hedge_target_0.35_hedge_gap_0.35_first_0.51_opp_0.53_pair_cost_1.04_max_pair_1.04_shares_2.0588,true,151.5500,205,31.67,63178.3744,1.839759,1.868869,-0.264987,63200.7776,-22.4032,-0.035448,0.4700,0.4800,0.5200,0.5300,5.88235294,0.00000000,0.00000000,3.0000,0.0000,0.0000,-3.0000,2.7647,-0.2353
1780576321696,3,btc-updown-5m-1780576200,SELL,UP,1.17647059,shares,1.17647059,0.9294,0.7900,d1_strong_runner_sell_up_step1_runner_skim_phase_mid_atr_storm_bid_0.79_p_0.934_itm_pct_0.1969_itm_z_0.45_step_1_fraction_0.20_sell_1.1765_keep_paired_2.0588_time_40.7,true,160.0143,178,40.67,63325.1996,4.028360,6.530610,2.896595,63200.7776,124.4221,0.196868,0.7900,0.8300,0.1700,0.2100,5.88235294,2.05882353,2.05882353,4.0912,0.0000,2.0588,-2.0324,4.9971,0.9059
1780576379021,3,btc-updown-5m-1780576200,SELL,UP,1.17647059,shares,1.17647059,1.1647,0.9900,d1_strong_runner_sell_up_step2_profit_lock_phase_late_atr_storm_bid_0.99_p_0.954_itm_pct_0.4852_itm_z_1.36_step_2_fraction_0.25_sell_1.1765_keep_paired_2.0588_time_60.0,true,160.0143,120,60.00,63507.4289,4.940043,2.481851,-0.940489,63200.7776,306.6513,0.485202,0.9900,1.0000,0.0100,0.0100,4.70588235,2.05882353,2.05882353,4.0912,0.9294,2.9882,-1.1029,4.6794,1.5176
1780576379021,3,btc-updown-5m-1780576200,SELL,UP,0.70588235,shares,0.70588235,0.6988,0.9900,d1_strong_runner_sell_up_step3_deep_lock_phase_late_atr_storm_bid_0.99_p_0.954_itm_pct_0.4852_itm_z_1.36_step_3_fraction_0.20_sell_0.7059_keep_paired_2.0588_time_60.0,true,160.0143,120,60.00,63507.4289,4.940043,2.481851,-0.940489,63200.7776,306.6513,0.485202,0.9900,1.0000,0.0100,0.0100,3.52941176,2.05882353,2.05882353,4.0912,2.0941,4.1529,0.0618,3.5147,1.5176
1780576581362,4,btc-updown-5m-1780576500,BUY,DOWN,1.13400000,usd,2.10000000,1.1340,0.5400,d1_cross_hedge_buy_down_phase_mid_atr_storm_cross_now_true_baseline_ABOVE_relation_BELOW_first_p_0.532_first_otm_pct_0.0736_first_otm_z_0.13_hedge_now_0.00_hedge_target_0.35_hedge_gap_0.35_first_0.50_opp_0.54_pair_cost_1.04_max_pair_1.04_shares_2.1000,true,184.0357,218,27.33,63385.5991,0.386490,1.380838,1.509214,63432.2611,-46.6620,-0.073562,0.4600,0.5000,0.5000,0.5400,6.00000000,0.00000000,0.00000000,3.0000,0.0000,0.0000,-3.0000,2.7600,-0.2400
1780576603802,4,btc-updown-5m-1780576500,SELL,UP,1.20000000,shares,1.20000000,0.9000,0.7500,d1_strong_runner_sell_up_step1_runner_skim_phase_mid_atr_storm_bid_0.75_p_0.931_itm_pct_0.1977_itm_z_0.38_step_1_fraction_0.20_sell_1.2000_keep_paired_2.1000_time_34.7,true,184.0357,196,34.67,63557.6457,6.603093,7.521689,0.307898,63432.2611,125.3846,0.197667,0.7500,0.7600,0.2600,0.2700,6.00000000,2.10000000,2.10000000,4.1340,0.0000,2.1000,-2.0340,5.0460,0.9120
1780576683559,4,btc-updown-5m-1780576500,SELL,UP,1.20000000,shares,1.20000000,1.1160,0.9300,d1_strong_runner_sell_up_step2_profit_lock_phase_late_atr_storm_bid_0.93_p_0.753_itm_pct_0.2919_itm_z_0.76_step_2_fraction_0.25_sell_1.2000_keep_paired_2.1000_time_60.0,true,172.5429,120,60.00,63617.4037,-0.145335,-0.604980,-0.015787,63432.2611,185.1427,0.291875,0.9300,0.9400,0.0600,0.0700,4.80000000,2.10000000,2.10000000,4.1340,0.9000,3.0000,-1.1340,4.5900,1.3560
1780576734688,4,btc-updown-5m-1780576500,SELL,UP,0.72000000,shares,0.72000000,0.7128,0.9900,d1_strong_runner_sell_up_step3_deep_lock_phase_late_atr_storm_bid_0.99_p_0.891_itm_pct_0.3155_itm_z_1.11_step_3_fraction_0.20_sell_0.7200_keep_paired_2.1000_time_78.3,true,172.5429,65,78.33,63632.3830,2.108657,1.280053,-0.265304,63432.2611,200.1219,0.315489,0.9900,1.0000,0.0100,0.0200,3.60000000,2.10000000,2.10000000,4.1340,2.0160,4.1160,-0.0180,3.5850,1.4670
