timestamp,window_id,slug,type,side,reason,price,shares,usd_value,cash_after
1780596479447,1,btc-updown-5m-1780596600,BUY,DOWN,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_3_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_100.75_atr_regime_storm_budget_mult_0.10,0.5000,6.00000000,3.0000,97.0000
1780596696074,1,btc-updown-5m-1780596600,SELL,DOWN,d1_strong_runner_sell_down_step1_runner_skim_phase_mid_atr_storm_bid_0.69_p_0.832_itm_pct_0.1027_itm_z_0.35_step_1_fraction_0.20_sell_1.2000_keep_paired_0.0000_time_32.3,0.6900,1.20000000,0.8280,97.8280
1780596779448,2,btc-updown-5m-1780596900,BUY,UP,d1_one_leg_up_ask_0.49_fair_0.500_edge_+0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.040_discount_req_0.035_combined_1.02_atr_100.75_atr_regime_storm_budget_mult_0.10,0.4900,6.12244898,3.0000,94.8280
1780596845013,1,btc-updown-5m-1780596600,SELL,DOWN,d1_strong_runner_sell_down_step2_profit_lock_phase_late_atr_storm_bid_0.95_p_0.796_itm_pct_0.1138_itm_z_0.75_step_2_fraction_0.25_sell_1.2000_keep_paired_0.0000_time_82.0,0.9500,1.20000000,1.1400,95.9680
1780596899447,1,btc-updown-5m-1780596600,REDEEM,DOWN,option_expired_itm_win_1.00,1.0000,3.60000000,3.6000,99.5680
1780596998366,2,btc-updown-5m-1780596900,SELL,UP,d1_strong_runner_sell_up_step1_runner_skim_phase_mid_atr_storm_bid_0.81_p_0.744_itm_pct_0.1057_itm_z_0.36_step_1_fraction_0.20_sell_1.2245_keep_paired_0.0000_time_33.0,0.8100,1.22448980,0.9918,100.5598
1780597079002,2,btc-updown-5m-1780596900,SELL,UP,d1_strong_runner_sell_up_step2_profit_lock_phase_late_atr_storm_bid_0.99_p_0.976_itm_pct_0.3534_itm_z_1.56_step_2_fraction_0.25_sell_1.2245_keep_paired_0.0000_time_60.0,0.9900,1.22448980,1.2122,101.7721
1780597079015,2,btc-updown-5m-1780596900,SELL,UP,d1_strong_runner_sell_up_step3_deep_lock_phase_late_atr_storm_bid_0.99_p_0.976_itm_pct_0.3534_itm_z_1.56_step_3_fraction_0.20_sell_0.7347_keep_paired_0.0000_time_60.0,0.9900,0.73469388,0.7273,102.4994
1780597079448,3,btc-updown-5m-1780597200,BUY,UP,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_100.75_atr_regime_storm_budget_mult_0.10,0.5100,5.88235294,3.0000,99.4994
1780597199450,2,btc-updown-5m-1780596900,REDEEM,UP,option_expired_itm_win_1.00,1.0000,2.93877551,2.9388,102.4382
1780597287980,3,btc-updown-5m-1780597200,BUY,DOWN,d1_cross_hedge_buy_down_phase_mid_atr_volatile_cross_now_false_baseline_BELOW_relation_BELOW_first_p_0.229_first_otm_pct_0.0146_first_otm_z_0.06_hedge_now_0.00_hedge_target_0.35_hedge_gap_0.35_first_0.51_opp_0.53_pair_cost_1.04_max_pair_1.04_shares_2.0588,0.5300,2.05882353,1.0912,101.3470
1780597315133,3,btc-updown-5m-1780597200,SELL,UP,d1_strong_runner_sell_up_step1_runner_skim_phase_mid_atr_volatile_bid_0.69_p_0.830_itm_pct_0.0682_itm_z_0.31_step_1_fraction_0.20_sell_1.1765_keep_paired_2.0588_time_38.7,0.6900,1.17647059,0.8118,102.1588
1780597387347,3,btc-updown-5m-1780597200,SELL,UP,d1_strong_runner_sell_up_step2_profit_lock_phase_late_atr_volatile_bid_0.86_p_0.868_itm_pct_0.1161_itm_z_0.66_step_2_fraction_0.25_sell_1.1765_keep_paired_2.0588_time_62.7,0.8600,1.17647059,1.0118,103.1706
1780597406084,3,btc-updown-5m-1780597200,SELL,UP,d1_strong_runner_sell_up_step3_deep_lock_phase_late_atr_volatile_bid_0.96_p_0.892_itm_pct_0.1606_itm_z_1.00_step_3_fraction_0.20_sell_0.7059_keep_paired_2.0588_time_69.0,0.9600,0.70588235,0.6776,103.8482
1780597418452,4,btc-updown-5m-1780597500,BUY,UP,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.025_combined_1.02_atr_81.38_atr_regime_volatile_budget_mult_0.10,0.5100,5.88235294,3.0000,100.8482
1780597499451,3,btc-updown-5m-1780597200,REDEEM,UP,option_expired_itm_win_1.00,1.0000,2.82352941,2.8235,103.6717
1780597499451,3,btc-updown-5m-1780597200,EXPIRED,DOWN,option_expired_otm_loss_0.00,0.0000,2.05882353,0.0000,103.6717
1780597630337,4,btc-updown-5m-1780597500,BUY,DOWN,d1_cross_hedge_buy_down_phase_mid_atr_storm_cross_now_false_baseline_BELOW_relation_BELOW_first_p_0.496_first_otm_pct_0.0002_first_otm_z_0.00_hedge_now_0.00_hedge_target_0.35_hedge_gap_0.35_first_0.51_opp_0.53_pair_cost_1.04_max_pair_1.04_shares_2.0588,0.5300,2.05882353,1.0912,102.5806
1780597689453,5,btc-updown-5m-1780597800,BUY,DOWN,d1_one_leg_down_ask_0.50_fair_0.500_edge_+0.000_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.020_discount_req_0.035_combined_1.02_atr_91.31_atr_regime_storm_budget_mult_0.10,0.5000,6.00000000,3.0000,99.5806
1780597753717,4,btc-updown-5m-1780597500,SELL,UP,d1_strong_runner_sell_up_step1_runner_skim_phase_late_atr_volatile_bid_0.90_p_0.713_itm_pct_0.0439_itm_z_0.36_step_1_fraction_0.20_sell_1.1765_keep_paired_2.0588_time_84.7,0.9000,1.17647059,1.0588,100.6394
1780597799620,4,btc-updown-5m-1780597500,REDEEM,UP,option_expired_itm_win_1.00,1.0000,4.70588235,4.7059,105.3453
1780597799633,4,btc-updown-5m-1780597500,EXPIRED,DOWN,option_expired_otm_loss_0.00,0.0000,2.05882353,0.0000,105.3453
1780597879279,5,btc-updown-5m-1780597800,BUY,UP,d1_cross_hedge_buy_up_phase_mid_atr_storm_cross_now_false_baseline_ABOVE_relation_ABOVE_first_p_0.755_first_otm_pct_0.0361_first_otm_z_0.10_hedge_now_0.00_hedge_target_0.35_hedge_gap_0.35_first_0.50_opp_0.54_pair_cost_1.04_max_pair_1.04_shares_2.1000,0.5400,2.10000000,1.1340,104.2113
1780597910484,5,btc-updown-5m-1780597800,SELL,DOWN,d1_strong_runner_sell_down_step1_runner_skim_phase_mid_atr_storm_bid_0.70_p_0.899_itm_pct_0.1140_itm_z_0.35_step_1_fraction_0.20_sell_1.2000_keep_paired_2.1000_time_37.0,0.7000,1.20000000,0.8400,105.0513
1780597982452,6,btc-updown-5m-1780598100,BUY,UP,d1_one_leg_up_ask_0.51_fair_0.500_edge_-0.010_source_momentum_no_ptb_conf_2_ptb_known_false_discount_0.000_discount_req_0.035_combined_1.02_atr_126.79_atr_regime_storm_budget_mult_0.10,0.5100,5.88235294,3.0000,102.0513
1780598050643,5,btc-updown-5m-1780597800,SELL,DOWN,d1_strong_runner_sell_down_step2_profit_lock_phase_late_atr_storm_bid_0.88_p_0.862_itm_pct_0.1579_itm_z_0.88_step_2_fraction_0.25_sell_1.2000_keep_paired_2.1000_time_83.7,0.8800,1.20000000,1.0560,103.1073
