timestamp,window_id,slug,event,status_before,current_atr,spot_price,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask
1780629299062,1,btc-updown-15m-1780629300,promote_skipped,WAITING_ENTRY,86.2357,62309.8973,,,,0.5500,0.5700,0.4400,0.4500
1780630199065,2,btc-updown-15m-1780630200,promote_skipped,WAITING_ENTRY,95.9000,62525.1172,,,,0.5100,0.5300,0.4700,0.5100
1780631099066,3,btc-updown-15m-1780631100,promote_skipped,WAITING_ENTRY,83.6071,62596.4312,,,,0.5000,0.5100,0.5000,0.5100
1780631999066,4,btc-updown-15m-1780632000,promote_skipped,WAITING_ENTRY,66.7929,62655.2959,,,,0.4900,0.5000,0.5100,0.5200
1780632899067,5,btc-updown-15m-1780632900,promote_skipped,WAITING_ENTRY,99.2357,62786.9382,,,,0.4600,0.4900,0.5400,0.5500
1780633799069,6,btc-updown-15m-1780633800,promote_skipped,WAITING_ENTRY,92.9429,63138.4653,,,,0.4000,0.4100,0.6000,0.6100
1780634699070,7,btc-updown-15m-1780634700,promote_skipped,WAITING_ENTRY,79.5643,62950.8248,,,,0.4400,0.4500,0.5600,0.5700
1780635599071,8,btc-updown-15m-1780635600,promote_skipped,WAITING_ENTRY,109.6571,63526.9971,,,,0.4300,0.4400,0.5600,0.5700
1780636499071,9,btc-updown-15m-1780636500,promote_skipped,WAITING_ENTRY,86.6357,63313.9782,,,,0.4700,0.4800,0.5300,0.5400
1780637399075,10,btc-updown-15m-1780637400,promote_skipped,WAITING_ENTRY,72.0214,63442.3269,,,,0.4600,0.4700,0.5300,0.5500
1780638299072,11,btc-updown-15m-1780638300,promote_skipped,WAITING_ENTRY,102.5500,62829.4656,,,,0.4400,0.5000,0.5300,0.5600
1780639199075,12,btc-updown-15m-1780639200,promote_skipped,WAITING_ENTRY,134.3429,62271.7507,,,,0.5400,0.5500,0.4600,0.4700
1780640099076,13,btc-updown-15m-1780640100,promote_skipped,WAITING_ENTRY,191.0857,62026.2872,,,,0.5500,0.5600,0.4500,0.4600
1780640999122,14,btc-updown-15m-1780641000,promote_skipped,WAITING_ENTRY,236.6929,61610.7210,,,,0.5700,0.5800,0.4300,0.4400
1780641899076,15,btc-updown-15m-1780641900,promote_skipped,WAITING_ENTRY,169.3786,62086.4659,,,,0.5100,0.5200,0.4900,0.5000
1780642799074,16,btc-updown-15m-1780642800,promote_skipped,WAITING_ENTRY,122.8643,61881.1843,,,,0.5000,0.5100,0.5000,0.5100
1780643699074,17,btc-updown-15m-1780643700,promote_skipped,WAITING_ENTRY,147.1786,61460.4626,,,,0.5200,0.5300,0.4800,0.4900
1780644599078,18,btc-updown-15m-1780644600,promote_skipped,WAITING_ENTRY,154.4929,62199.0771,,,,0.4700,0.4800,0.5300,0.5400
1780645499080,19,btc-updown-15m-1780645500,promote_skipped,WAITING_ENTRY,151.4786,62817.6678,,,,0.4600,0.4700,0.5400,0.5600
1780646399079,20,btc-updown-15m-1780646400,promote_skipped,WAITING_ENTRY,114.3214,63042.5462,,,,0.4300,0.4400,0.5700,0.5800
1780647299080,21,btc-updown-15m-1780647300,promote_skipped,WAITING_ENTRY,89.7429,62749.1048,,,,0.5000,0.5100,0.5000,0.5100
1780648199083,22,btc-updown-15m-1780648200,promote_skipped,WAITING_ENTRY,96.9286,62746.4239,,,,0.5000,0.5100,0.5000,0.5100
1780649099093,23,btc-updown-15m-1780649100,promote_skipped,WAITING_ENTRY,89.9857,62489.4195,,,,0.5100,0.5200,0.5000,0.5100
1780649999088,24,btc-updown-15m-1780650000,promote_skipped,WAITING_ENTRY,74.5214,62395.4780,,,,0.5300,0.5400,0.4600,0.4700
1780650899088,25,btc-updown-15m-1780650900,promote_skipped,WAITING_ENTRY,117.7071,62991.6843,,,,0.4900,0.5000,0.5000,0.5100
1780651799090,26,btc-updown-15m-1780651800,promote_skipped,WAITING_ENTRY,109.0857,63065.6512,,,,0.4600,0.4700,0.5400,0.5500
1780652699091,27,btc-updown-15m-1780652700,promote_skipped,WAITING_ENTRY,81.2071,62773.2531,,,,0.5100,0.5300,0.4900,0.5000
1780653599095,28,btc-updown-15m-1780653600,promote_skipped,WAITING_ENTRY,63.2643,62809.5883,,,,0.4900,0.5000,0.5000,0.5100
1780654499097,29,btc-updown-15m-1780654500,promote_skipped,WAITING_ENTRY,85.7714,62699.8151,,,,0.5100,0.5200,0.4900,0.5000
1780655399098,30,btc-updown-15m-1780655400,promote_skipped,WAITING_ENTRY,57.3214,62534.3127,,,,0.5300,0.5400,0.4700,0.4800
1780656299101,31,btc-updown-15m-1780656300,promote_skipped,WAITING_ENTRY,74.1714,62636.0128,,,,0.5100,0.5200,0.4900,0.5000
1780657199101,32,btc-updown-15m-1780657200,promote_skipped,WAITING_ENTRY,62.2571,62490.7044,,,,0.5000,0.5100,0.4900,0.5000
1780658099101,33,btc-updown-15m-1780658100,promote_skipped,WAITING_ENTRY,74.1643,62271.7582,,,,0.5300,0.5400,0.4600,0.4700
1780658999103,34,btc-updown-15m-1780659000,promote_skipped,WAITING_ENTRY,94.7286,62414.0528,,,,0.5100,0.5200,0.4900,0.5000
1780659899106,35,btc-updown-15m-1780659900,promote_skipped,WAITING_ENTRY,73.7857,62071.3732,,,,0.5100,0.5300,0.4700,0.4900
1780660799112,36,btc-updown-15m-1780660800,promote_skipped,WAITING_ENTRY,85.3643,61917.8065,,,,0.5500,0.5600,0.4500,0.4600
1780661699109,37,btc-updown-15m-1780661700,promote_skipped,WAITING_ENTRY,146.6714,62094.6369,,,,0.5000,0.5100,0.5000,0.5100
1780662599113,38,btc-updown-15m-1780662600,promote_skipped,WAITING_ENTRY,101.4857,62157.8861,,,,0.5100,0.5200,0.4800,0.4900
1780663499114,39,btc-updown-15m-1780663500,promote_skipped,WAITING_ENTRY,172.7929,61936.7180,,,,0.4800,0.5100,0.4900,0.5200
1780664399115,40,btc-updown-15m-1780664400,promote_skipped,WAITING_ENTRY,101.8714,61909.0673,,,,0.5100,0.5200,0.4900,0.5000
1780665299122,41,btc-updown-15m-1780665300,promote_skipped,WAITING_ENTRY,105.3929,61936.4799,,,,0.5100,0.5200,0.4900,0.5000
1780666199123,42,btc-updown-15m-1780666200,promote_skipped,WAITING_ENTRY,106.2929,62080.4370,,,,0.5000,0.5100,0.5000,0.5100
1780667099128,43,btc-updown-15m-1780667100,promote_skipped,WAITING_ENTRY,154.0714,61790.2986,,,,0.5500,0.5600,0.4500,0.4600
1780667999128,44,btc-updown-15m-1780668000,promote_skipped,WAITING_ENTRY,174.6571,60699.7101,,,,0.5400,0.5500,0.4500,0.4600
1780668899133,45,btc-updown-15m-1780668900,promote_skipped,WAITING_ENTRY,219.6000,60817.8647,,,,0.5400,0.5500,0.4600,0.4700
1780669799134,46,btc-updown-15m-1780669800,promote_skipped,WAITING_ENTRY,137.2929,60352.0172,,,,0.5300,0.5400,0.4700,0.4800
1780670699137,47,btc-updown-15m-1780670700,promote_skipped,WAITING_ENTRY,195.5571,60771.9318,,,,0.5500,0.5700,0.4400,0.4500
1780671599140,48,btc-updown-15m-1780671600,promote_skipped,WAITING_ENTRY,157.7286,60824.1752,,,,0.5000,0.5100,0.5000,0.5100
1780672499198,49,btc-updown-15m-1780672500,promote_skipped,WAITING_ENTRY,149.4429,60547.1643,,,,0.5300,0.5500,0.4600,0.4900
1780673399147,50,btc-updown-15m-1780673400,promote_skipped,WAITING_ENTRY,155.3071,60741.5454,,,,0.5000,0.5100,0.5000,0.5100
1780674299151,51,btc-updown-15m-1780674300,promote_skipped,WAITING_ENTRY,156.4429,60283.0778,,,,0.5500,0.5600,0.4500,0.4600
1780675199155,52,btc-updown-15m-1780675200,promote_skipped,WAITING_ENTRY,128.1000,60415.9929,,,,0.5000,0.5200,0.4800,0.5000
1780676099158,53,btc-updown-15m-1780676100,promote_skipped,WAITING_ENTRY,231.1571,60849.0837,,,,0.4800,0.5000,0.5200,0.5300
1780676999160,54,btc-updown-15m-1780677000,promote_skipped,WAITING_ENTRY,248.1143,60884.6633,,,,0.4600,0.4700,0.5400,0.5500
1780677899159,55,btc-updown-15m-1780677900,promote_skipped,WAITING_ENTRY,129.4571,60798.0992,,,,0.5000,0.5100,0.5000,0.5100
1780678799163,56,btc-updown-15m-1780678800,promote_skipped,WAITING_ENTRY,147.0143,61349.8772,,,,0.4600,0.4700,0.5400,0.5500
1780679699164,57,btc-updown-15m-1780679700,promote_skipped,WAITING_ENTRY,140.2500,61004.3513,,,,0.5100,0.5200,0.4900,0.5000
1780680599165,58,btc-updown-15m-1780680600,promote_skipped,WAITING_ENTRY,99.7143,60650.3168,,,,0.5100,0.5200,0.4800,0.4900
1780681499163,59,btc-updown-15m-1780681500,promote_skipped,WAITING_ENTRY,114.3500,60714.6091,,,,0.5100,0.5200,0.4900,0.5000
1780682399166,60,btc-updown-15m-1780682400,promote_skipped,WAITING_ENTRY,90.9500,60765.3969,,,,0.5000,0.5100,0.5000,0.5100
