timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,paired_shares,spent,returned,terminal_floor,terminal_floor_gap,mtm,unrealized_pnl
1780633516183,5,btc-updown-15m-1780632900,BUY,UP,6.60000000,usd,13.46938776,6.6000,0.4900,dx_live_entry_up_source_gap_aligned_phase_manage_atr_volatile_ask_0.49_bid_0.45_spread_0.040_fair_1.000_edge_+0.510_gap_z_+0.43_side_gap_z_+0.43_d1_up_d1_edge_+0.510_fair_best_up_fair_edge_+0.510_time_68.6_spot_conf_3_prob30_+0.4921_prob60_+0.1605_budget_6.60,true,74.5714,283,68.56,62858.0708,5.949280,7.309612,4.632260,62788.4587,69.6121,0.110868,0.4500,0.4900,0.5500,0.5600,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1780633590154,5,btc-updown-15m-1780632900,SELL,UP,4.71428571,shares,4.71428571,4.6200,0.9800,dx_primary_ptb_sell_up_step_1_phase_late_bid_0.98_avg_0.49_target_0.048_fair_0.924_edge_+0.056_sell_4.7143_paired_0.0000_time_76.8,true,85.3286,209,76.78,63055.4827,-1.138245,-0.529641,-1.089804,62788.4587,267.0240,0.425276,0.9800,0.9900,0.0200,0.0300,13.46938776,0.00000000,0.00000000,6.6000,0.0000,0.0000,-6.6000,13.2000,6.6000
1780633590154,5,btc-updown-15m-1780632900,SELL,UP,3.06428571,shares,3.06428571,3.0030,0.9800,dx_primary_ptb_sell_up_step_2_phase_late_bid_0.98_avg_0.49_target_0.100_fair_0.924_edge_+0.056_sell_3.0643_paired_0.0000_time_76.8,true,85.3286,209,76.78,63055.4827,-1.138245,-0.529641,-1.089804,62788.4587,267.0240,0.425276,0.9800,0.9900,0.0100,0.0200,8.75510204,0.00000000,0.00000000,6.6000,4.6200,4.6200,-1.9800,8.5800,6.6000
1780633590168,5,btc-updown-15m-1780632900,SELL,UP,5.69081633,shares,5.69081633,5.6339,0.9900,dx_primary_ptb_sell_up_step_3_phase_late_bid_0.99_avg_0.49_target_0.176_fair_0.924_edge_+0.066_sell_5.6908_paired_0.0000_time_76.8,true,85.3286,209,76.78,63055.4827,-1.138245,-0.529641,-1.089804,62788.4587,267.0240,0.425276,0.9900,1.0000,0.0100,0.0200,5.69081633,0.00000000,0.00000000,6.6000,7.6230,7.6230,1.0230,5.6339,6.6569
1780636582581,9,btc-updown-15m-1780636500,BUY,DOWN,6.60000000,usd,10.81967213,6.6000,0.6100,dx_live_entry_down_source_gap_aligned_phase_entry_atr_volatile_ask_0.61_bid_0.59_spread_0.020_fair_0.994_edge_+0.384_gap_z_-0.26_side_gap_z_+0.26_d1_down_d1_edge_+0.384_fair_best_down_fair_edge_+0.384_time_9.2_spot_conf_2_prob30_-0.1980_prob60_-0.2636_budget_6.60,true,73.1357,817,9.22,63244.7991,-2.035877,-2.129947,0.012265,63314.1998,-69.4007,-0.109613,0.3900,0.4200,0.5900,0.6100,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1780636667782,9,btc-updown-15m-1780636500,SELL,DOWN,3.78688525,shares,3.78688525,2.5372,0.6700,dx_primary_ptb_sell_down_step_1_phase_entry_bid_0.67_avg_0.61_target_0.060_fair_0.552_edge_+0.118_sell_3.7869_paired_0.0000_time_18.7,true,72.7214,732,18.67,63257.4760,-0.492890,0.092266,-0.171514,63314.1998,-56.7238,-0.089591,0.3300,0.3400,0.6700,0.6900,0.00000000,10.81967213,0.00000000,6.6000,0.0000,0.0000,-6.6000,7.2492,0.6492
1780638366363,11,btc-updown-15m-1780638300,BUY,DOWN,4.20000000,usd,6.77419355,4.2000,0.6200,dx_live_entry_down_source_gap_aligned_phase_entry_atr_storm_ask_0.62_bid_0.61_spread_0.010_fair_0.996_edge_+0.376_gap_z_-0.28_side_gap_z_+0.28_d1_down_d1_edge_+0.376_fair_best_down_fair_edge_+0.376_time_7.4_spot_conf_3_prob30_-0.2752_prob60_-0.2476_budget_4.20,true,108.3786,833,7.44,62713.7438,-2.825752,-3.281544,-1.394949,62826.5776,-112.8339,-0.179596,0.3900,0.4000,0.6100,0.6200,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1780638429189,11,btc-updown-15m-1780638300,SELL,DOWN,2.37096774,shares,2.37096774,1.7071,0.7200,dx_primary_ptb_sell_down_step_1_phase_entry_bid_0.72_avg_0.62_target_0.060_fair_0.522_edge_+0.198_sell_2.3710_paired_0.0000_time_14.4,true,112.7429,770,14.44,62676.0772,-0.711783,0.474420,2.081353,62826.5776,-150.5005,-0.239549,0.2800,0.2900,0.7200,0.7300,0.00000000,6.77419355,0.00000000,4.2000,0.0000,0.0000,-4.2000,4.8774,0.6774
1780638436524,11,btc-updown-15m-1780638300,SELL,DOWN,1.54112903,shares,1.54112903,1.1558,0.7500,dx_primary_ptb_sell_down_step_2_phase_entry_bid_0.75_avg_0.62_target_0.125_fair_0.529_edge_+0.221_sell_1.5411_paired_0.0000_time_15.2,true,112.7429,763,15.22,62678.1224,0.083759,0.444711,-0.107873,62826.5776,-148.4552,-0.236294,0.2500,0.2600,0.7500,0.7600,0.00000000,4.40322581,0.00000000,4.2000,1.7071,1.7071,-2.4929,3.3024,0.8095
1780638847702,11,btc-updown-15m-1780638300,SELL,DOWN,2.86209677,shares,2.86209677,2.4900,0.8700,dx_primary_ptb_sell_down_step_3_phase_manage_bid_0.87_avg_0.62_target_0.220_fair_0.241_edge_+0.629_sell_2.8621_paired_0.0000_time_60.9,true,116.0143,352,60.89,62740.5657,0.918126,2.303942,-0.760492,62826.5776,-86.0119,-0.136904,0.2000,0.2100,0.8700,0.8800,0.00000000,2.86209677,0.00000000,4.2000,2.8629,2.8629,-1.3371,2.4900,1.1530
