timestamp,window_id,slug,type,side,reason,price,shares,usd_value,cash_after
1780920070536,20,btc-updown-15m-1780920000,BUY,UP,dx_live_entry_up_source_gap_aligned_phase_entry_atr_volatile_ask_0.63_bid_0.62_mid_0.62_spread_0.010_fair_0.887_edge_+0.257_gap_z_+0.56_side_gap_z_+0.56_d1_up_d1_edge_+0.257_fair_best_up_fair_edge_+0.257_up_mid_0.62_down_mid_0.35_time_7.9_spot_conf_2_prob30_+0.2500_prob60_+0.2887_budget_6.60,0.6300,10.47619048,6.6000,93.4000
1780920899296,20,btc-updown-15m-1780920000,EXPIRED,UP,option_expired_otm_loss_0.00,0.0000,10.47619048,0.0000,93.4000
1780949383290,52,btc-updown-15m-1780948800,BUY,DOWN,dx_live_entry_down_source_gap_aligned_phase_manage_atr_normal_ask_0.62_bid_0.61_mid_0.61_spread_0.010_fair_0.857_edge_+0.237_gap_z_-0.42_side_gap_z_+0.42_d1_down_d1_edge_+0.237_fair_best_down_fair_edge_+0.237_up_mid_0.39_down_mid_0.61_time_64.9_spot_conf_2_prob30_-0.3186_prob60_-0.1348_budget_9.00,0.6200,14.51612903,9.0000,84.4000
1780949397078,52,btc-updown-15m-1780948800,SELL,DOWN,dx_primary_ptb_sell_down_step_1_phase_manage_bid_0.68_avg_0.62_target_0.060_fair_0.419_edge_+0.261_sell_5.0806_paired_0.0000_runner_floor_0.0000_recovered_false_fav_true_time_66.4,0.6800,5.08064516,3.4548,87.8548
1780949428415,52,btc-updown-15m-1780948800,SELL,DOWN,dx_primary_ptb_sell_down_step_2_phase_manage_bid_0.77_avg_0.62_target_0.125_fair_0.722_edge_+0.048_sell_3.3024_paired_0.0000_runner_floor_0.0000_recovered_false_fav_true_time_69.9,0.7700,3.30241935,2.5429,90.3977
1780949489486,52,btc-updown-15m-1780948800,SELL,DOWN,dx_primary_ptb_sell_down_step_3_phase_late_bid_0.80_avg_0.62_target_0.176_fair_0.627_edge_+0.173_sell_1.5333_paired_0.0000_runner_floor_0.0000_recovered_false_fav_true_time_76.7,0.8000,1.53326613,1.2266,91.6243
1780949567519,52,btc-updown-15m-1780948800,SELL,DOWN,dx_primary_ptb_sell_down_step_4_phase_late_bid_0.82_avg_0.62_target_0.176_fair_0.442_edge_+0.378_sell_4.5998_paired_0.0000_runner_floor_0.0000_recovered_false_fav_false_time_85.3,0.8200,4.59979839,3.7718,95.3961
1780952446281,56,btc-updown-15m-1780952400,BUY,UP,dx_live_entry_up_source_gap_aligned_phase_entry_atr_normal_ask_0.62_bid_0.61_mid_0.61_spread_0.010_fair_0.853_edge_+0.233_gap_z_+0.40_side_gap_z_+0.40_d1_up_d1_edge_+0.233_fair_best_up_fair_edge_+0.233_up_mid_0.61_down_mid_0.39_time_5.2_spot_conf_2_prob30_+0.2680_prob60_+0.2551_budget_9.00,0.6200,14.51612903,9.0000,86.3961
1780952577515,56,btc-updown-15m-1780952400,SELL,UP,dx_primary_ptb_sell_up_step_1_phase_entry_bid_0.76_avg_0.62_target_0.060_fair_0.745_edge_+0.015_sell_5.0806_paired_0.0000_runner_floor_0.0000_recovered_false_fav_true_time_19.8,0.7600,5.08064516,3.8613,90.2574
1780952578626,56,btc-updown-15m-1780952400,SELL,UP,dx_primary_ptb_sell_up_step_2_phase_entry_bid_0.77_avg_0.62_target_0.125_fair_0.750_edge_+0.020_sell_3.3024_paired_0.0000_runner_floor_0.0000_recovered_false_fav_true_time_19.9,0.7700,3.30241935,2.5429,92.8003
