timestamp,window_id,slug,cross_count,significant_cross_count,final_side,last_cross_atr
1781078399824,0,btc-updown-15m-1781077500,0,0,DOWN,42.62857142857216
1781079299826,1,btc-updown-15m-1781078400,6,3,DOWN,52.92857142857143
1781080199829,2,btc-updown-15m-1781079300,13,4,DOWN,57.52142857142826
1781081099834,3,btc-updown-15m-1781080200,7,1,DOWN,50.34285714285735
1781081999873,4,btc-updown-15m-1781081100,12,3,UP,68.12857142857216
1781082899839,5,btc-updown-15m-1781082000,7,2,DOWN,49.50000000000052
1781083799845,6,btc-updown-15m-1781082900,4,2,UP,93.25714285714223
1781084699849,7,btc-updown-15m-1781083800,0,0,UP,102.57142857142857
1781085599853,8,btc-updown-15m-1781084700,5,3,UP,49.20714285714296
1781086499861,9,btc-updown-15m-1781085600,4,2,DOWN,49.214285714286234
1781087399865,10,btc-updown-15m-1781086500,7,4,UP,47.61428571428509
