timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,paired_shares,spent,returned,terminal_floor,terminal_floor_gap,mtm,unrealized_pnl
1781078474601,1,btc-updown-15m-1781078400,BUY,UP,25.50000000,usd,55.43478261,25.5000,0.4600,dcross_cheap_entry_up_ask_0.46_fair_0.578_edge_+0.118_gap_z_-0.15_crosses_0_sig_0_atr_42.6,true,42.6286,825,8.33,61614.4380,0.174820,0.456606,0.650498,61638.8411,-24.4031,-0.039591,0.4500,0.4600,0.5400,0.5500,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781078480311,1,btc-updown-15m-1781078400,SELL,UP,19.40217391,shares,19.40217391,10.4772,0.5400,dcross_grid_step1_target_0.54_bid_0.54_atr_normal,true,42.6286,819,9.00,61630.9277,1.012638,1.302018,-0.037680,61638.8411,-7.9134,-0.012838,0.5400,0.5500,0.4600,0.4800,55.43478261,0.00000000,0.00000000,25.5000,0.0000,0.0000,-25.5000,29.9348,4.4348
1781079080067,1,btc-updown-15m-1781078400,SELL,UP,12.61141304,shares,12.61141304,7.0624,0.5600,dcross_grid_step2_target_0.56_bid_0.56_atr_normal,true,42.6286,219,75.67,61628.2813,0.530264,1.252001,0.056123,61638.8411,-10.5598,-0.017132,0.5600,0.5700,0.4500,0.4600,36.03260870,0.00000000,0.00000000,25.5000,10.4772,10.4772,-15.0228,20.1783,5.1554
1781079081997,1,btc-updown-15m-1781078400,SELL,UP,23.42119565,shares,23.42119565,13.5843,0.5800,dcross_flip_take_profit_gap_0.16_bid_0.58,true,42.6286,218,75.78,61639.3905,1.182286,1.811831,0.358147,61638.8411,0.5494,0.000891,0.5800,0.5900,0.4200,0.4300,23.42119565,0.00000000,0.00000000,25.5000,17.5396,17.5396,-7.9604,13.5843,5.6239
1781079513347,2,btc-updown-15m-1781079300,BUY,DOWN,25.50000000,usd,65.38461538,25.5000,0.3900,dcross_cheap_entry_down_ask_0.39_fair_0.528_edge_+0.138_gap_z_+0.28_crosses_0_sig_0_atr_53.5,true,53.4714,686,23.78,61619.8652,-2.054649,-2.144270,-0.265174,61569.1243,50.7409,0.082413,0.6100,0.6200,0.3800,0.3900,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781079529849,2,btc-updown-15m-1781079300,SELL,DOWN,22.88461538,shares,22.88461538,11.2135,0.4900,dcross_grid_step1_target_0.49_bid_0.49_atr_volatile,true,53.4714,670,25.56,61588.4434,-2.464127,-1.320749,0.112884,61569.1243,19.3191,0.031378,0.5200,0.5300,0.4900,0.5000,0.00000000,65.38461538,0.00000000,25.5000,0.0000,0.0000,-25.5000,32.0385,6.5385
1781079564817,2,btc-updown-15m-1781079300,SELL,DOWN,14.87500000,shares,14.87500000,8.0325,0.5400,dcross_grid_step2_target_0.54_bid_0.54_atr_volatile,true,58.1857,635,29.44,61605.0219,1.365283,0.381585,-0.180213,61569.1243,35.8976,0.058305,0.4600,0.4700,0.5400,0.5500,0.00000000,42.50000000,0.00000000,25.5000,11.2135,11.2135,-14.2865,22.9500,8.6635
1781079704410,2,btc-updown-15m-1781079300,SELL,DOWN,27.62500000,shares,27.62500000,16.0225,0.5800,dcross_flip_take_profit_gap_0.18_bid_0.58,true,57.5929,495,45.00,61563.7664,-0.786965,-0.731621,0.061593,61569.1243,-5.3579,-0.008702,0.4000,0.4100,0.5800,0.5900,0.00000000,27.62500000,0.00000000,25.5000,19.2460,19.2460,-6.2540,16.0225,9.7685
1781081213962,4,btc-updown-15m-1781081100,BUY,UP,25.50000000,usd,59.30232558,25.5000,0.4300,dcross_cheap_entry_up_ask_0.43_fair_0.581_edge_+0.151_gap_z_-0.14_crosses_1_sig_0_atr_72.4,true,72.3643,786,12.67,61157.7847,0.584485,0.806218,1.497908,61195.7440,-37.9592,-0.062029,0.4200,0.4300,0.5800,0.5900,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781081409719,4,btc-updown-15m-1781081100,SELL,UP,20.75581395,shares,20.75581395,11.2081,0.5400,dcross_grid_step1_target_0.53_bid_0.54_atr_volatile,true,67.1143,590,34.44,61195.2522,1.783423,1.469062,-0.122027,61195.7440,-0.4918,-0.000804,0.5400,0.5500,0.4600,0.4900,59.30232558,0.00000000,0.00000000,25.5000,0.0000,0.0000,-25.5000,32.0233,6.5233
1781081469930,4,btc-updown-15m-1781081100,SELL,UP,38.54651163,shares,38.54651163,22.3570,0.5800,dcross_flip_take_profit_gap_0.15_bid_0.58,true,68.1286,530,41.11,61204.0588,1.101229,2.092964,-0.111846,61195.7440,8.3148,0.013587,0.5800,0.5900,0.4200,0.4400,38.54651163,0.00000000,0.00000000,25.5000,11.2081,11.2081,-14.2919,22.3570,8.0651
1781082099847,5,btc-updown-15m-1781082000,BUY,DOWN,25.50000000,usd,56.66666667,25.5000,0.4500,dcross_cheap_entry_down_ask_0.45_fair_0.600_edge_+0.150_gap_z_+0.10_crosses_0_sig_0_atr_48.1,true,48.0714,800,11.11,61230.6017,-1.144901,-1.301687,0.739057,61213.4838,17.1179,0.027964,0.5600,0.5700,0.4400,0.4500,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781082126612,5,btc-updown-15m-1781082000,SELL,DOWN,19.83333333,shares,19.83333333,10.9083,0.5500,dcross_grid_step1_target_0.55_bid_0.55_atr_volatile,true,50.1714,773,14.11,61218.1040,-0.595487,-0.126463,0.011696,61213.4838,4.6202,0.007548,0.4400,0.4600,0.5500,0.5600,0.00000000,56.66666667,0.00000000,25.5000,0.0000,0.0000,-25.5000,31.1667,5.6667
1781082127544,5,btc-updown-15m-1781082000,SELL,DOWN,36.83333333,shares,36.83333333,21.3633,0.5800,dcross_flip_take_profit_gap_0.16_bid_0.58,true,50.1714,772,14.22,61216.3196,-0.683760,-0.259021,-0.132559,61213.4838,2.8358,0.004633,0.4200,0.4300,0.5800,0.5900,0.00000000,36.83333333,0.00000000,25.5000,10.9083,10.9083,-14.5917,21.3633,6.7717
1781082977918,6,btc-updown-15m-1781082900,BUY,DOWN,25.50000000,usd,54.25531915,25.5000,0.4700,dcross_cheap_entry_down_ask_0.47_fair_0.644_edge_+0.174_gap_z_-0.02_crosses_0_sig_0_atr_58.9,true,58.9286,822,8.67,61011.6573,-1.269225,-1.058011,0.091019,61015.9479,-4.2906,-0.007032,0.5400,0.5500,0.4600,0.4700,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781083195391,6,btc-updown-15m-1781082900,SELL,DOWN,54.25531915,shares,54.25531915,31.4681,0.5800,dcross_flip_take_profit_gap_0.16_bid_0.58,true,58.0000,604,32.89,61007.9170,-1.118998,-0.737266,0.061807,61015.9479,-8.0309,-0.013162,0.4200,0.4300,0.5800,0.5900,0.00000000,54.25531915,0.00000000,25.5000,0.0000,0.0000,-25.5000,31.4681,5.9681
1781083876253,7,btc-updown-15m-1781083800,BUY,DOWN,25.50000000,usd,60.71428571,25.5000,0.4200,dcross_cheap_entry_down_ask_0.42_fair_0.568_edge_+0.148_gap_z_+0.11_crosses_0_sig_0_atr_102.6,true,102.5714,823,8.56,61199.3603,-0.075808,-0.639610,-0.241437,61159.3168,40.0435,0.065474,0.5600,0.5700,0.4100,0.4200,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781084591009,7,btc-updown-15m-1781083800,SELL,DOWN,60.71428571,shares,60.71428571,3.6429,0.0600,dcross_emergency_time_stop_otm,true,59.5000,108,88.00,61243.4202,-1.720775,-1.816323,-0.968208,61159.3168,84.1034,0.137515,0.9400,0.9500,0.0600,0.0700,0.00000000,60.71428571,0.00000000,25.5000,0.0000,0.0000,-25.5000,3.6429,-21.8571
1781085030958,8,btc-updown-15m-1781084700,BUY,UP,25.50000000,usd,63.75000000,25.5000,0.4000,dcross_cheap_entry_up_ask_0.40_fair_0.529_edge_+0.129_gap_z_-0.28_crosses_0_sig_0_atr_53.5,true,53.5143,569,36.78,61173.2498,2.159822,1.709966,-0.058679,61219.0846,-45.8348,-0.074870,0.3800,0.4000,0.6000,0.6200,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781085094584,8,btc-updown-15m-1781084700,SELL,UP,22.31250000,shares,22.31250000,11.1562,0.5000,dcross_grid_step1_target_0.50_bid_0.50_atr_volatile,true,54.2929,505,43.89,61205.4658,0.413611,0.614552,-0.053357,61219.0846,-13.6188,-0.022246,0.5000,0.5100,0.5000,0.5100,63.75000000,0.00000000,0.00000000,25.5000,0.0000,0.0000,-25.5000,31.8750,6.3750
1781085104341,8,btc-updown-15m-1781084700,SELL,UP,14.50312500,shares,14.50312500,7.9767,0.5500,dcross_grid_step2_target_0.55_bid_0.55_atr_volatile,true,54.2929,495,45.00,61223.1595,1.372315,1.201596,-0.080375,61219.0846,4.0749,0.006656,0.5500,0.5600,0.4400,0.4600,41.43750000,0.00000000,0.00000000,25.5000,11.1562,11.1562,-14.3438,22.7906,8.4469
1781085106246,8,btc-updown-15m-1781084700,SELL,UP,26.93437500,shares,26.93437500,15.6219,0.5800,dcross_flip_take_profit_gap_0.16_bid_0.58,true,54.2929,493,45.22,61225.4442,1.352150,1.197289,0.060277,61219.0846,6.3596,0.010388,0.5800,0.5900,0.4200,0.4300,26.93437500,0.00000000,0.00000000,25.5000,19.1330,19.1330,-6.3670,15.6219,9.2549
1781085727347,9,btc-updown-15m-1781085600,BUY,UP,25.50000000,usd,60.71428571,25.5000,0.4200,dcross_cheap_entry_up_ask_0.42_fair_0.559_edge_+0.139_gap_z_-0.12_crosses_2_sig_1_atr_49.2,true,49.2143,772,14.22,61261.4611,0.458144,0.310307,0.052837,61283.0523,-21.5912,-0.035232,0.4100,0.4200,0.5700,0.5900,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781085761705,9,btc-updown-15m-1781085600,SELL,UP,21.25000000,shares,21.25000000,11.0500,0.5200,dcross_grid_step1_target_0.52_bid_0.52_atr_volatile,true,49.2143,738,18.00,61278.9635,0.563314,0.374157,0.024883,61283.0523,-4.0889,-0.006672,0.5200,0.5300,0.4800,0.4900,60.71428571,0.00000000,0.00000000,25.5000,0.0000,0.0000,-25.5000,31.5714,6.0714
1781086391350,9,btc-updown-15m-1781085600,SELL,UP,39.46428571,shares,39.46428571,1.9732,0.0500,dcross_emergency_time_stop_otm,true,51.4357,108,88.00,61195.4307,0.632921,0.579100,-0.016592,61283.0523,-87.6216,-0.142979,0.0500,0.0600,0.9400,0.9500,39.46428571,0.00000000,0.00000000,25.5000,11.0500,11.0500,-14.4500,1.9732,-12.4768
1781086577155,10,btc-updown-15m-1781086500,BUY,UP,25.50000000,usd,55.43478261,25.5000,0.4600,dcross_cheap_entry_up_ask_0.46_fair_0.523_edge_+0.063_gap_z_-0.10_crosses_0_sig_0_atr_56.1,true,56.0714,822,8.67,61177.8547,0.741230,0.196762,-0.020468,61198.0796,-20.2249,-0.033048,0.4500,0.4600,0.5500,0.5700,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781087006004,10,btc-updown-15m-1781086500,SELL,UP,19.40217391,shares,19.40217391,10.8652,0.5600,dcross_grid_step1_target_0.56_bid_0.56_atr_volatile,true,52.6429,393,56.33,61193.6043,0.469836,0.687450,-0.068185,61198.0796,-4.4753,-0.007313,0.5600,0.5700,0.4400,0.4500,55.43478261,0.00000000,0.00000000,25.5000,0.0000,0.0000,-25.5000,31.0435,5.5435
1781087010449,10,btc-updown-15m-1781086500,SELL,UP,36.03260870,shares,36.03260870,20.8989,0.5800,dcross_flip_take_profit_gap_0.15_bid_0.58,true,52.6429,389,56.78,61199.6278,0.988702,0.879142,-0.062034,61198.0796,1.5482,0.002530,0.5800,0.5900,0.4200,0.4400,36.03260870,0.00000000,0.00000000,25.5000,10.8652,10.8652,-14.6348,20.8989,6.2641
