timestamp,window_id,slug,type,side,reason,price,shares,usd_value,cash_after
1781078474601,1,btc-updown-15m-1781078400,BUY,UP,dcross_cheap_entry_up_ask_0.46_fair_0.578_edge_+0.118_gap_z_-0.15_crosses_0_sig_0_atr_42.6,0.4600,55.43478261,25.5000,74.5000
1781078480311,1,btc-updown-15m-1781078400,SELL,UP,dcross_grid_step1_target_0.54_bid_0.54_atr_normal,0.5400,19.40217391,10.4772,84.9772
1781079080066,1,btc-updown-15m-1781078400,SELL,UP,dcross_grid_step2_target_0.56_bid_0.56_atr_normal,0.5600,12.61141304,7.0624,92.0396
1781079081997,1,btc-updown-15m-1781078400,SELL,UP,dcross_flip_take_profit_gap_0.16_bid_0.58,0.5800,23.42119565,13.5843,105.6239
1781079513346,2,btc-updown-15m-1781079300,BUY,DOWN,dcross_cheap_entry_down_ask_0.39_fair_0.528_edge_+0.138_gap_z_+0.28_crosses_0_sig_0_atr_53.5,0.3900,65.38461538,25.5000,80.1239
1781079529848,2,btc-updown-15m-1781079300,SELL,DOWN,dcross_grid_step1_target_0.49_bid_0.49_atr_volatile,0.4900,22.88461538,11.2135,91.3373
1781079564816,2,btc-updown-15m-1781079300,SELL,DOWN,dcross_grid_step2_target_0.54_bid_0.54_atr_volatile,0.5400,14.87500000,8.0325,99.3698
1781079704409,2,btc-updown-15m-1781079300,SELL,DOWN,dcross_flip_take_profit_gap_0.18_bid_0.58,0.5800,27.62500000,16.0225,115.3923
1781081213962,4,btc-updown-15m-1781081100,BUY,UP,dcross_cheap_entry_up_ask_0.43_fair_0.581_edge_+0.151_gap_z_-0.14_crosses_1_sig_0_atr_72.4,0.4300,59.30232558,25.5000,89.8923
1781081409718,4,btc-updown-15m-1781081100,SELL,UP,dcross_grid_step1_target_0.53_bid_0.54_atr_volatile,0.5400,20.75581395,11.2081,101.1005
1781081469929,4,btc-updown-15m-1781081100,SELL,UP,dcross_flip_take_profit_gap_0.15_bid_0.58,0.5800,38.54651163,22.3570,123.4574
1781082099846,5,btc-updown-15m-1781082000,BUY,DOWN,dcross_cheap_entry_down_ask_0.45_fair_0.600_edge_+0.150_gap_z_+0.10_crosses_0_sig_0_atr_48.1,0.4500,56.66666667,25.5000,97.9574
1781082126611,5,btc-updown-15m-1781082000,SELL,DOWN,dcross_grid_step1_target_0.55_bid_0.55_atr_volatile,0.5500,19.83333333,10.9083,108.8658
1781082127544,5,btc-updown-15m-1781082000,SELL,DOWN,dcross_flip_take_profit_gap_0.16_bid_0.58,0.5800,36.83333333,21.3633,130.2291
1781082977917,6,btc-updown-15m-1781082900,BUY,DOWN,dcross_cheap_entry_down_ask_0.47_fair_0.644_edge_+0.174_gap_z_-0.02_crosses_0_sig_0_atr_58.9,0.4700,54.25531915,25.5000,104.7291
1781083195390,6,btc-updown-15m-1781082900,SELL,DOWN,dcross_flip_take_profit_gap_0.16_bid_0.58,0.5800,54.25531915,31.4681,136.1972
1781083876252,7,btc-updown-15m-1781083800,BUY,DOWN,dcross_cheap_entry_down_ask_0.42_fair_0.568_edge_+0.148_gap_z_+0.11_crosses_0_sig_0_atr_102.6,0.4200,60.71428571,25.5000,110.6972
1781084591008,7,btc-updown-15m-1781083800,SELL,DOWN,dcross_emergency_time_stop_otm,0.0600,60.71428571,3.6429,114.3400
1781085030957,8,btc-updown-15m-1781084700,BUY,UP,dcross_cheap_entry_up_ask_0.40_fair_0.529_edge_+0.129_gap_z_-0.28_crosses_0_sig_0_atr_53.5,0.4000,63.75000000,25.5000,88.8400
1781085094584,8,btc-updown-15m-1781084700,SELL,UP,dcross_grid_step1_target_0.50_bid_0.50_atr_volatile,0.5000,22.31250000,11.1562,99.9963
1781085104340,8,btc-updown-15m-1781084700,SELL,UP,dcross_grid_step2_target_0.55_bid_0.55_atr_volatile,0.5500,14.50312500,7.9767,107.9730
1781085106245,8,btc-updown-15m-1781084700,SELL,UP,dcross_flip_take_profit_gap_0.16_bid_0.58,0.5800,26.93437500,15.6219,123.5950
1781085727346,9,btc-updown-15m-1781085600,BUY,UP,dcross_cheap_entry_up_ask_0.42_fair_0.559_edge_+0.139_gap_z_-0.12_crosses_2_sig_1_atr_49.2,0.4200,60.71428571,25.5000,98.0950
1781085761704,9,btc-updown-15m-1781085600,SELL,UP,dcross_grid_step1_target_0.52_bid_0.52_atr_volatile,0.5200,21.25000000,11.0500,109.1450
1781086391348,9,btc-updown-15m-1781085600,SELL,UP,dcross_emergency_time_stop_otm,0.0500,39.46428571,1.9732,111.1182
1781086577154,10,btc-updown-15m-1781086500,BUY,UP,dcross_cheap_entry_up_ask_0.46_fair_0.523_edge_+0.063_gap_z_-0.10_crosses_0_sig_0_atr_56.1,0.4600,55.43478261,25.5000,85.6182
1781087006003,10,btc-updown-15m-1781086500,SELL,UP,dcross_grid_step1_target_0.56_bid_0.56_atr_volatile,0.5600,19.40217391,10.8652,96.4834
1781087010449,10,btc-updown-15m-1781086500,SELL,UP,dcross_flip_take_profit_gap_0.15_bid_0.58,0.5800,36.03260870,20.8989,117.3823
