timestamp,window_id,slug,event,from_side,to_side,up_mid,down_mid,lead_gap,peak_prev_gap,gap_at_flip,post_flip_peak,effective_gap,is_significant,cross_count,significant_cross_count,time_pct,secs_to_end,current_atr,spot_price,ptb,ptb_delta_usd,spot_velocity,spot_smoothed_velocity,spot_acceleration
1781211672146,5,btc-updown-15m-1781211600,armed_init,,UP,0.5950,0.4050,0.1900,0.0000,0.0000,0.0000,0.0000,false,0,0,8.11,827,27.4214,63352.8218,,,0.468564,0.380454,-0.033053
1781212571918,6,btc-updown-15m-1781212500,armed_init,,DOWN,0.4150,0.5950,0.1800,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,28.8286,63473.8407,,,-0.243695,-0.196463,0.017920
1781213008472,6,btc-updown-15m-1781212500,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.5600,0.0100,0.0100,0.5600,true,1,1,56.56,391,25.1714,63493.7330,,,0.424129,0.376511,0.096185
1781213031307,6,btc-updown-15m-1781212500,mid_cross,UP,DOWN,0.4900,0.5000,0.0100,0.1200,0.0100,0.0100,0.1200,false,2,1,59.11,368,25.1714,63497.0350,,,-0.040576,-0.108852,-0.089667
1781213473076,7,btc-updown-15m-1781213400,armed_init,,UP,0.6250,0.3850,0.2400,0.0000,0.0000,0.0000,0.0000,false,0,0,8.22,826,24.2143,63443.9625,,,0.436957,0.483144,-0.041987
1781213714001,7,btc-updown-15m-1781213400,mid_cross,UP,DOWN,0.5000,0.5150,0.0150,0.4200,0.0150,0.0150,0.4200,true,1,1,35.00,585,24.8214,63432.8742,,,-0.027714,0.028865,-0.001134
1781213716990,7,btc-updown-15m-1781213400,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.2400,0.0200,0.0200,0.2400,true,2,2,35.22,583,24.8214,63407.5212,,,-1.227510,-1.958351,-1.539333
1781213717088,7,btc-updown-15m-1781213400,mid_cross,UP,DOWN,0.5050,0.5150,0.0100,0.0500,0.0100,0.0100,0.0500,false,3,2,35.33,582,24.8214,63407.5212,,,-1.227510,-1.958351,-1.539333
1781213717088,7,btc-updown-15m-1781213400,mid_cross,DOWN,UP,0.5450,0.5150,0.0300,0.0100,0.0300,0.0300,0.0300,false,4,2,35.33,582,24.8214,63407.5212,,,-1.227510,-1.958351,-1.539333
1781213717116,7,btc-updown-15m-1781213400,mid_cross,UP,DOWN,0.5050,0.5150,0.0100,0.0300,0.0100,0.0100,0.0300,false,5,2,35.33,582,24.8214,63407.5212,,,-1.227510,-1.958351,-1.539333
1781213717117,7,btc-updown-15m-1781213400,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0100,0.0100,0.0100,0.0100,false,6,2,35.33,582,24.8214,63407.5212,,,-1.227510,-1.958351,-1.539333
1781213726256,7,btc-updown-15m-1781213400,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0600,0.0100,0.0100,0.0600,false,7,2,36.33,573,24.8214,63418.2295,,,-0.730120,-0.432963,-0.014627
1781213727118,7,btc-updown-15m-1781213400,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0100,0.0100,0.0100,0.0100,false,8,2,36.44,572,24.8214,63418.3666,,,-0.681182,-0.387378,0.045585
1781213737431,7,btc-updown-15m-1781213400,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.1100,0.0100,0.0100,0.1100,false,9,2,37.56,562,24.8214,63420.0037,,,0.624124,-0.119149,-0.030004
1781213783715,7,btc-updown-15m-1781213400,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.1400,0.0100,0.0100,0.1400,false,10,2,42.67,516,25.5429,63414.3844,,,0.228751,0.130489,-0.011353
1781213877819,7,btc-updown-15m-1781213400,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.1000,0.0100,0.0100,0.1000,false,11,2,53.11,422,25.4357,63419.5503,,,-0.000924,0.023673,0.007198
1781213885498,7,btc-updown-15m-1781213400,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.1400,0.0200,0.0200,0.1400,false,12,2,54.00,414,24.5714,63413.3104,,,-0.288845,-0.327359,0.024784
1781214371751,8,btc-updown-15m-1781214300,armed_init,,UP,0.5950,0.4050,0.1900,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,30.0000,63483.7437,,,-0.216160,0.495228,0.826997
1781214427068,8,btc-updown-15m-1781214300,mid_cross,UP,DOWN,0.4850,0.5100,0.0250,0.2600,0.0250,0.0250,0.2600,true,1,1,14.22,772,30.7071,63483.8442,,,0.305582,-0.356167,0.016280
1781214435089,8,btc-updown-15m-1781214300,mid_cross,DOWN,UP,0.5150,0.5000,0.0150,0.0400,0.0150,0.0150,0.0400,false,2,1,15.11,764,30.7071,63473.9809,,,-1.127708,-0.689263,0.058361
1781214435541,8,btc-updown-15m-1781214300,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0150,0.0100,0.0100,0.0150,false,3,1,15.11,764,30.7071,63473.9809,,,-1.127708,-0.689263,0.058361
1781214437368,8,btc-updown-15m-1781214300,mid_cross,DOWN,UP,0.5350,0.5000,0.0350,0.0100,0.0350,0.0350,0.0350,false,4,1,15.33,762,30.7071,63473.1011,,,-1.105292,-0.648190,0.056040
1781214645408,8,btc-updown-15m-1781214300,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.4200,0.0100,0.0100,0.4200,true,5,3,38.44,554,32.7143,63478.6194,,,-0.554799,-0.747643,-0.185335
1781214688648,8,btc-updown-15m-1781214300,mid_cross,DOWN,UP,0.5150,0.5000,0.0150,0.1800,0.0150,0.0150,0.1800,true,6,4,43.22,511,33.3000,63468.6159,,,0.181041,0.254943,0.372486
1781214848332,8,btc-updown-15m-1781214300,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.4100,0.0100,0.0100,0.4100,true,7,5,61.00,351,33.4571,63477.8600,,,-0.426561,-0.420585,0.012817
1781214859160,8,btc-updown-15m-1781214300,mid_cross,DOWN,UP,0.5200,0.5000,0.0200,0.1200,0.0200,0.0200,0.1200,false,8,5,62.22,340,33.4571,63468.0133,,,-0.749013,-0.596871,0.046797
1781214866549,8,btc-updown-15m-1781214300,mid_cross,UP,DOWN,0.4800,0.5200,0.0400,0.1900,0.0400,0.0400,0.1900,true,9,7,63.00,333,33.4571,63476.5648,,,-0.078739,0.185072,0.040905
1781215271098,9,btc-updown-15m-1781215200,armed_init,,UP,0.6050,0.4050,0.2000,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,33.6000,63480.3134,,,-0.326461,-0.634963,0.012575
1781216172847,10,btc-updown-15m-1781216100,armed_init,,DOWN,0.4350,0.5950,0.1600,0.0000,0.0000,0.0000,0.0000,false,0,0,8.11,827,41.1357,63556.1155,,,-0.001848,0.041086,-0.002531
1781216190977,10,btc-updown-15m-1781216100,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.2200,0.0100,0.0100,0.2200,true,1,1,10.11,809,41.1357,63563.8607,,,0.387858,0.719355,0.172674
1781216220063,10,btc-updown-15m-1781216100,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.3050,0.0100,0.0100,0.3050,true,2,2,13.44,779,41.1357,63581.6905,,,-1.063456,-0.181768,0.016079
