timestamp,window_id,slug,cross_count,significant_cross_count,final_side,last_cross_atr
1781211599604,4,btc-updown-15m-1781210700,9,3,UP,26.671428571428674
1781212499608,5,btc-updown-15m-1781211600,0,0,UP,27.421428571428155
1781213399613,6,btc-updown-15m-1781212500,2,2,DOWN,25.171428571429196
1781214299618,7,btc-updown-15m-1781213400,12,3,UP,24.57142857142961
1781215199625,8,btc-updown-15m-1781214300,9,7,DOWN,33.45714285714296
1781216099630,9,btc-updown-15m-1781215200,0,0,UP,33.60000000000063
1781216999636,10,btc-updown-15m-1781216100,10,5,DOWN,36.542857142856
1781217899856,11,btc-updown-15m-1781217000,1,1,DOWN,26.657142857143167
1781218799643,12,btc-updown-15m-1781217900,4,3,DOWN,27.79999999999979
1781219699645,13,btc-updown-15m-1781218800,0,0,DOWN,30.571428571428573
1781220599649,14,btc-updown-15m-1781219700,14,8,DOWN,30.97857142857174
1781221499651,15,btc-updown-15m-1781220600,0,0,UP,27.485714285714494
1781222399656,16,btc-updown-15m-1781221500,21,16,DOWN,31.38571428571335
1781223299661,17,btc-updown-15m-1781222400,3,3,UP,41.56428571428426
1781224199666,18,btc-updown-15m-1781223300,0,0,DOWN,52.87857142857216
1781225099671,19,btc-updown-15m-1781224200,5,3,UP,42.95714285714452
1781225999676,20,btc-updown-15m-1781225100,3,3,DOWN,27.95714285714244
1781226899681,21,btc-updown-15m-1781226000,0,0,DOWN,31.392857142856624
1781227799687,22,btc-updown-15m-1781226900,7,3,DOWN,41.44999999999969
1781228699692,23,btc-updown-15m-1781227800,14,9,UP,36.214285714286234
1781229599696,24,btc-updown-15m-1781228700,0,0,UP,36.642857142857665
1781230499697,25,btc-updown-15m-1781229600,0,0,UP,31.071428571428573
1781231399700,26,btc-updown-15m-1781230500,2,2,DOWN,42.87142857142732
1781232299707,27,btc-updown-15m-1781231400,6,3,UP,36.47142857142847
1781233199711,28,btc-updown-15m-1781232300,0,0,DOWN,37.97142857142847
1781234099925,29,btc-updown-15m-1781233200,7,4,DOWN,23.121428571427845
1781234999721,30,btc-updown-15m-1781234100,0,0,DOWN,25.257142857143272
1781235899724,31,btc-updown-15m-1781235000,0,0,UP,34.58571428571304
1781236799728,32,btc-updown-15m-1781235900,5,3,UP,28.635714285714908
1781237699729,33,btc-updown-15m-1781236800,8,8,DOWN,31.371428571428364
1781238599732,34,btc-updown-15m-1781237700,0,0,UP,38.22142857142899
1781239499733,35,btc-updown-15m-1781238600,7,6,DOWN,45.435714285713665
1781240399734,36,btc-updown-15m-1781239500,8,7,DOWN,21.892857142858183
1781241299741,37,btc-updown-15m-1781240400,0,0,DOWN,20.02142857142826
1781242199958,38,btc-updown-15m-1781241300,0,0,UP,41.20714285714296
1781243099994,39,btc-updown-15m-1781242200,4,3,DOWN,22.52857142857309
1781243999756,40,btc-updown-15m-1781243100,20,9,DOWN,37.371428571428886
1781244899761,41,btc-updown-15m-1781244000,13,7,DOWN,39.107142857142335
1781245799985,42,btc-updown-15m-1781244900,0,0,DOWN,43.585714285714076
1781246699771,43,btc-updown-15m-1781245800,0,0,DOWN,37.26428571428395
1781247599775,44,btc-updown-15m-1781246700,0,0,UP,61.34285714285787
1781248500000,45,btc-updown-15m-1781247600,0,0,UP,34.214285714286234
1781249399786,46,btc-updown-15m-1781248500,5,3,UP,38.20000000000073
1781250299789,47,btc-updown-15m-1781249400,18,11,UP,35.328571428572886
1781251200017,48,btc-updown-15m-1781250300,1,1,UP,21.600000000001142
1781252099793,49,btc-updown-15m-1781251200,0,0,UP,36.985714285714494
1781252999797,50,btc-updown-15m-1781252100,1,1,UP,41.27142857142826
1781253899804,51,btc-updown-15m-1781253000,0,0,DOWN,56.285714285713766
1781254799804,52,btc-updown-15m-1781253900,1,1,UP,32.41428571428436
1781255699808,53,btc-updown-15m-1781254800,13,7,UP,29.99999999999948
1781256599812,54,btc-updown-15m-1781255700,11,3,UP,41.80000000000031
1781257499818,55,btc-updown-15m-1781256600,2,1,UP,45.38571428571491
1781258399821,56,btc-updown-15m-1781257500,6,4,DOWN,42.585714285714076
1781259299822,57,btc-updown-15m-1781258400,27,21,UP,46.47142857142743
1781260199823,58,btc-updown-15m-1781259300,12,7,DOWN,38.74285714285621
1781261099828,59,btc-updown-15m-1781260200,0,0,UP,48.207142857141925
1781261999832,60,btc-updown-15m-1781261100,14,8,UP,27.07142857142909
1781262899836,61,btc-updown-15m-1781262000,1,1,UP,32.17857142857091
1781263799840,62,btc-updown-15m-1781262900,10,9,DOWN,31.43571428571366
1781264699848,63,btc-updown-15m-1781263800,0,0,DOWN,32.54285714285652
1781265599850,64,btc-updown-15m-1781264700,7,7,DOWN,31.61428571428561
1781266499856,65,btc-updown-15m-1781265600,2,2,DOWN,40.79999999999979
1781267399860,66,btc-updown-15m-1781266500,2,2,DOWN,36.44285714285589
1781268299864,67,btc-updown-15m-1781267400,5,5,DOWN,41.90000000000094
1781269199869,68,btc-updown-15m-1781268300,10,6,UP,54.692857142857456
1781270099873,69,btc-updown-15m-1781269200,17,13,UP,42.99285714285725
1781270999872,70,btc-updown-15m-1781270100,4,4,DOWN,47.13571428571491
1781271899874,71,btc-updown-15m-1781271000,0,0,DOWN,49.14285714285662
1781272799875,72,btc-updown-15m-1781271900,22,13,UP,68.0714285714296
1781273699881,73,btc-updown-15m-1781272800,0,0,UP,77.31428571428789
1781274599887,74,btc-updown-15m-1781273700,14,8,UP,78.9142857142854
1781275499890,75,btc-updown-15m-1781274600,9,8,DOWN,76.22142857143002
1781276399896,76,btc-updown-15m-1781275500,14,5,UP,79.77142857142982
1781277299896,77,btc-updown-15m-1781276400,2,2,UP,121.50714285714328
1781278199898,78,btc-updown-15m-1781277300,0,0,DOWN,106.02857142857205
1781279099898,79,btc-updown-15m-1781278200,0,0,DOWN,72.17142857142868
1781279999904,80,btc-updown-15m-1781279100,1,1,DOWN,91.50714285714275
1781280900128,81,btc-updown-15m-1781280000,6,3,UP,73.87142857142784
1781281799913,82,btc-updown-15m-1781280900,6,6,UP,82.40000000000042
1781284439345,83,btc-updown-15m-1781281800,9,4,DOWN,59.40000000000042
1781284510412,85,btc-updown-15m-1781283600,0,0,DOWN,59.40000000000042
1781285578392,86,btc-updown-15m-1781284500,2,1,DOWN,59.40000000000042
1781286426057,87,btc-updown-15m-1781285400,2,1,DOWN,59.40000000000042
1781287301342,88,btc-updown-15m-1781286300,0,0,UP,59.40000000000042
