timestamp,window_id,slug,event,from_side,to_side,up_mid,down_mid,lead_gap,peak_prev_gap,is_significant,cross_count,significant_cross_count,time_pct,secs_to_end,current_atr,spot_price,ptb,ptb_delta_usd,spot_velocity,spot_smoothed_velocity,spot_acceleration
1781214468361,0,btc-updown-15m-1781214300,armed_init,,UP,0.5950,0.4050,0.1900,0.0000,false,0,0,18.78,731,33.1071,,,,,,
1781214645242,0,btc-updown-15m-1781214300,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.4200,true,1,1,38.44,554,33.1071,63478.6194,63493.6842,-15.0648,-0.554799,-0.747643,-0.185335
1781214688481,0,btc-updown-15m-1781214300,mid_cross,DOWN,UP,0.5150,0.5000,0.0150,0.1800,false,2,1,43.22,511,33.1071,63468.6159,63493.6842,-25.0683,0.181041,0.254943,0.372486
1781214848180,0,btc-updown-15m-1781214300,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.4100,true,3,2,61.00,351,33.1071,63477.8600,63493.6842,-15.8242,-0.426561,-0.420585,0.012817
1781214859008,0,btc-updown-15m-1781214300,mid_cross,DOWN,UP,0.5200,0.5000,0.0200,0.1200,false,4,2,62.22,340,33.1071,63467.8685,63493.6842,-25.8157,-0.824573,-0.717264,0.061080
1781214866378,0,btc-updown-15m-1781214300,mid_cross,UP,DOWN,0.4800,0.5200,0.0400,0.1900,false,5,2,63.00,333,33.1071,63476.5648,63493.6842,-17.1194,-0.078739,0.185072,0.040905
1781215272238,1,btc-updown-15m-1781215200,armed_init,,UP,0.6200,0.4050,0.2150,0.0000,false,0,0,8.11,827,33.1071,63481.0879,63456.2265,24.8615,-0.318284,-0.522265,0.112695
1781216172573,2,btc-updown-15m-1781216100,armed_init,,DOWN,0.4350,0.5950,0.1600,0.0000,false,0,0,8.11,827,41.1357,63556.1155,63570.5338,-14.4184,-0.001848,0.041086,-0.002531
1781216190886,2,btc-updown-15m-1781216100,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.2200,true,1,1,10.11,809,41.1357,63563.8607,63570.5338,-6.6732,0.387858,0.719355,0.172674
1781216219911,2,btc-updown-15m-1781216100,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.3050,true,2,2,13.33,780,41.1357,63581.6905,63570.5338,11.1566,-1.063456,-0.181768,0.016079
1781216220472,2,btc-updown-15m-1781216100,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0100,false,3,2,13.44,779,41.4929,63581.6905,63570.5338,11.1566,-1.063456,-0.181768,0.016079
1781216284234,2,btc-updown-15m-1781216100,mid_cross,UP,DOWN,0.4850,0.5150,0.0300,0.3200,true,4,3,20.56,715,42.4857,63581.7680,63570.5338,11.2341,-0.906863,-1.036879,-0.045617
1781216286719,2,btc-updown-15m-1781216100,mid_cross,DOWN,UP,0.5200,0.4800,0.0400,0.0400,false,5,3,20.78,713,42.4857,63575.0868,63570.5338,4.5529,-1.251093,-1.315134,-0.278111
1781216351669,2,btc-updown-15m-1781216100,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.1300,false,6,3,28.00,648,38.9500,63581.1702,63570.5338,10.6364,-0.138460,-0.056208,0.004830
1781216373370,2,btc-updown-15m-1781216100,mid_cross,DOWN,UP,0.5150,0.5000,0.0150,0.0400,false,7,3,30.44,626,38.9500,63573.5165,63570.5338,2.9827,-0.376131,-0.134314,0.011933
