timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,paired_shares,spent,returned,terminal_floor,terminal_floor_gap,mtm,unrealized_pnl
1781216229767,2,btc-updown-15m-1781216100,BUY,UP,10.80000000,usd,19.63636364,10.8000,0.5500,e_tranche1_cross_up_ask_0.55_conv_0.105_gap_z_+0.11_lead_0.08,true,41.4929,770,14.44,63586.2658,0.064885,0.285896,0.227386,63570.5338,15.7319,0.024747,0.5400,0.5500,0.4600,0.4700,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781216248560,2,btc-updown-15m-1781216100,SELL,UP,5.89090909,shares,5.89090909,3.7113,0.6300,e_grid_step1_bid_0.63_target_0.63,true,41.4929,751,16.56,63589.6235,0.320879,0.095334,0.059057,63570.5338,19.0897,0.030029,0.6300,0.6400,0.3700,0.3800,19.63636364,0.00000000,0.00000000,10.8000,0.0000,0.0000,-10.8000,12.3709,1.5709
1781216426949,2,btc-updown-15m-1781216100,SELL,UP,4.12363636,shares,4.12363636,1.8144,0.4400,e_ptb_cross_trim_bid_0.44,true,36.5429,573,36.33,63565.5506,-0.527690,-0.817648,-0.388435,63570.5338,-4.9833,-0.007839,0.4400,0.4500,0.5600,0.5700,13.74545455,0.00000000,0.00000000,10.8000,3.7113,3.7113,-7.0887,6.0480,-1.0407
1781217130473,3,btc-updown-15m-1781217000,BUY,DOWN,10.80000000,usd,21.60000000,10.8000,0.5000,e_tranche1_value_down_ask_0.50_conv_0.034_gap_z_+0.04_lead_0.01,true,26.6571,769,14.56,63534.2449,-1.168541,-0.994844,0.086439,63530.7158,3.5291,0.005555,0.5000,0.5100,0.4900,0.5000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781217201364,3,btc-updown-15m-1781217000,SELL,DOWN,6.48000000,shares,6.48000000,3.9528,0.6100,e_grid_step1_bid_0.61_target_0.58,true,27.7643,698,22.44,63505.9208,-0.136862,0.155510,0.152226,63530.7158,-24.7950,-0.039028,0.3900,0.4000,0.6100,0.6200,0.00000000,21.60000000,0.00000000,10.8000,0.0000,0.0000,-10.8000,13.1760,2.3760
1781217325831,3,btc-updown-15m-1781217000,SELL,DOWN,4.53600000,shares,4.53600000,3.6288,0.8000,e_grid_step2_bid_0.80_target_0.64,true,30.6071,574,36.22,63460.1791,0.701232,0.462382,-0.027767,63530.7158,-70.5367,-0.111028,0.1900,0.2000,0.8000,0.8100,0.00000000,15.12000000,0.00000000,10.8000,3.9528,3.9528,-6.8472,12.0960,5.2488
1781217325832,3,btc-updown-15m-1781217000,SELL,DOWN,2.64600000,shares,2.64600000,2.1168,0.8000,e_grid_step3_bid_0.80_target_0.72,true,30.6071,574,36.22,63460.1791,0.701232,0.462382,-0.027767,63530.7158,-70.5367,-0.111028,0.1900,0.2000,0.8000,0.8100,0.00000000,10.58400000,0.00000000,10.8000,7.5816,7.5816,-3.2184,8.4672,5.2488
1781217325846,3,btc-updown-15m-1781217000,SELL,DOWN,1.58760000,shares,1.58760000,1.2701,0.8000,e_grid_ext1_bid_0.80_target_0.78,true,30.6071,574,36.22,63460.1791,0.701232,0.462382,-0.027767,63530.7158,-70.5367,-0.111028,0.1900,0.2000,0.8000,0.8100,0.00000000,7.93800000,0.00000000,10.8000,9.6984,9.6984,-1.1016,6.3504,5.2488
1781217541755,3,btc-updown-15m-1781217000,SELL,DOWN,1.27008000,shares,1.27008000,1.1050,0.8700,e_grid_ext2_bid_0.87_target_0.84,true,32.3429,358,60.22,63463.1928,-0.029312,-0.105448,0.009164,63530.7158,-67.5230,-0.106284,0.1300,0.1400,0.8700,0.8800,0.00000000,6.35040000,0.00000000,10.8000,10.9685,10.9685,0.1685,5.5248,5.6933
1781217692192,3,btc-updown-15m-1781217000,SELL,DOWN,1.01606400,shares,1.01606400,0.9246,0.9100,e_grid_ext3_bid_0.91_target_0.90,true,33.6000,207,77.00,63463.5625,0.043152,-0.087403,0.004317,63530.7158,-67.1533,-0.105702,0.0800,0.0900,0.9100,0.9200,0.00000000,5.08032000,0.00000000,10.8000,12.0734,12.0734,1.2734,4.6231,5.8965
