timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner,strategy,utc_hour,time_pct_at_close,final_gap_z,final_atr,mid_cross_count,significant_mid_cross_count,entry_side,entry_reason,would_redeem_hold
1781216999226,2,btc-updown-15m-1781216100,CLOSED_TIME,10.8000,5.5257,-5.2743,63526.9032,63570.5338,DOWN,dynamic_grid_e,22,100.00,-11.3956,29.6571,10,3,UP,e_tranche1_cross_up_ask_0.55_conv_0.105_gap_z_+0.11_lead_0.08,false
1781217899232,3,btc-updown-15m-1781217000,CLOSED_TIME,10.8000,17.0211,6.2211,63445.6870,63530.7158,DOWN,dynamic_grid_e,22,100.00,-20.3820,32.3143,1,1,DOWN,e_tranche1_value_down_ask_0.50_conv_0.034_gap_z_+0.04_lead_0.01,false
1781218799231,4,btc-updown-15m-1781217900,CLOSED_TIME,10.8000,12.0811,1.2811,63441.4240,63445.8402,DOWN,dynamic_grid_e,22,100.00,-1.2305,27.8000,4,2,UP,e_tranche1_cross_up_ask_0.58_conv_0.096_gap_z_+0.05_lead_0.14,false
1781220599239,6,btc-updown-15m-1781219700,CLOSED_TIME,27.0000,21.3610,-5.6390,63316.6746,63344.2903,DOWN,dynamic_grid_e,23,100.00,-7.2354,29.5643,14,5,UP,e_tranche1_cross_up_ask_0.50_conv_0.139_gap_z_+0.19_lead_0.01,false
1781222399245,8,btc-updown-15m-1781221500,CLOSED_TIME,10.8000,9.0310,-1.7690,63557.9697,63568.8211,DOWN,dynamic_grid_e,23,100.00,-2.5444,33.0357,21,7,UP,e_tranche1_cross_up_ask_0.58_conv_0.112_gap_z_+0.09_lead_0.14,false
1781223299251,9,btc-updown-15m-1781222400,CLOSED_TIME,20.2500,30.9393,10.6893,63667.5028,63561.1384,UP,dynamic_grid_e,0,100.00,16.3148,50.5000,3,1,UP,e_tranche1_value_up_ask_0.50_conv_0.038_gap_z_-0.03_lead_0.01,false
1781225099260,11,btc-updown-15m-1781224200,CLOSED_TIME,10.8000,14.8911,4.0911,63586.9923,63551.7997,UP,dynamic_grid_e,0,100.00,6.7392,40.4500,5,2,UP,e_tranche1_cross_up_ask_0.58_conv_0.085_gap_z_+0.02_lead_0.15,false
1781227799276,14,btc-updown-15m-1781226900,CLOSED_TIME,10.8000,15.6944,4.8944,63284.1984,63417.9693,DOWN,dynamic_grid_e,1,100.00,-23.5956,43.9143,7,2,DOWN,e_tranche1_value_down_ask_0.48_conv_0.028_gap_z_+0.04_lead_0.05,false
1781228699278,15,btc-updown-15m-1781227800,CLOSED_TIME,10.8000,9.8116,-0.9884,63297.1468,63284.8252,UP,dynamic_grid_e,1,100.00,2.6783,35.6357,14,5,DOWN,e_tranche1_value_down_ask_0.49_conv_0.029_gap_z_+0.04_lead_0.04,false
1781232299294,19,btc-updown-15m-1781231400,CLOSED_TIME,10.8000,8.9243,-1.8757,63549.6035,63475.6382,UP,dynamic_grid_e,2,100.00,16.1585,35.4571,6,2,DOWN,e_tranche1_value_down_ask_0.50_conv_0.041_gap_z_+0.02_lead_0.01,false
1781233199300,20,btc-updown-15m-1781232300,CLOSED_TIME,10.8000,1.1250,-9.6750,63529.4296,63549.7863,DOWN,dynamic_grid_e,2,100.00,-7.3930,21.3286,0,0,UP,e_tranche1_value_up_ask_0.48_conv_0.028_gap_z_-0.04_lead_0.05,false
1781236799319,24,btc-updown-15m-1781235900,CLOSED_TIME,10.8000,13.6062,2.8062,63431.2933,63383.7784,UP,dynamic_grid_e,3,100.00,16.2545,22.6429,5,1,UP,e_tranche1_cross_up_ask_0.58_conv_0.118_gap_z_+0.09_lead_0.14,false
1781237699318,25,btc-updown-15m-1781236800,CLOSED_TIME,10.8000,14.2788,3.4788,63411.5810,63431.1776,DOWN,dynamic_grid_e,4,100.00,-4.3953,34.5357,8,5,DOWN,e_tranche1_cross_down_ask_0.57_conv_0.108_gap_z_-0.13_lead_0.13,false
1781239499323,27,btc-updown-15m-1781238600,CLOSED_TIME,10.8000,13.6846,2.8846,63629.1488,63702.3155,DOWN,dynamic_grid_e,4,100.00,-15.4427,36.7000,7,2,DOWN,e_tranche1_cross_down_ask_0.58_conv_0.067_gap_z_+0.01_lead_0.14,false
1781240399323,28,btc-updown-15m-1781239500,CLOSED_TIME,20.2500,8.3540,-11.8960,63612.6266,63629.0491,DOWN,dynamic_grid_e,4,100.00,-6.1752,20.6000,8,2,UP,e_tranche1_cross_up_ask_0.58_conv_0.145_gap_z_+0.15_lead_0.15,false
