timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner,strategy,utc_hour,time_pct_at_close,final_gap_z,final_atr,mid_cross_count,significant_mid_cross_count,entry_side,entry_reason,would_redeem_hold
1781243099077,1,btc-updown-5m-1781242800,CLOSED_TIME,27.0000,26.3250,-0.6750,63308.4374,63306.4966,UP,cheap_hold_h,5,100.00,0.5440,27.6357,30,10,UP,h_entry_up_ask_0.40_gap_z_-0.10,false
1781243399079,2,btc-updown-5m-1781243100,CLOSED_TIME,27.0000,67.5000,40.5000,63303.2871,63311.5775,DOWN,cheap_hold_h,5,100.00,-2.3237,27.6357,2,2,DOWN,h_entry_down_ask_0.40_gap_z_+0.03,false
1781243699081,3,btc-updown-5m-1781243400,CLOSED_TIME,27.0000,3.3750,-23.6250,63276.7313,63318.5369,DOWN,cheap_hold_h,5,100.00,-8.4644,38.2571,0,0,UP,h_entry_up_ask_0.40_gap_z_+0.00,false
1781243999083,4,btc-updown-5m-1781243700,CLOSED_TIME,27.0000,16.8750,-10.1250,63269.6100,63276.9209,DOWN,cheap_hold_h,5,100.00,-1.4942,37.9000,17,3,DOWN,h_entry_down_ask_0.40_gap_z_+0.10,false
1781244299086,5,btc-updown-5m-1781244000,CLOSED_TIME,27.0000,67.5000,40.5000,63311.7472,63269.7156,UP,cheap_hold_h,6,100.00,7.5042,43.3857,10,2,UP,h_entry_up_ask_0.40_gap_z_+0.00,false
1781244599085,6,btc-updown-5m-1781244300,CLOSED_TIME,27.0000,67.5000,40.5000,63229.8809,63310.9768,DOWN,cheap_hold_h,6,100.00,-19.4093,32.3643,11,2,DOWN,h_entry_down_ask_0.40_gap_z_+0.14,false
1781244899087,7,btc-updown-5m-1781244600,CLOSED_TIME,27.0000,18.9000,-8.1000,63215.2264,63232.9982,DOWN,cheap_hold_h,6,100.00,-3.4329,40.1000,4,2,UP,h_entry_up_ask_0.40_gap_z_-0.18,false
1781245199089,8,btc-updown-5m-1781244900,CLOSED_TIME,27.0000,0.0000,-27.0000,63079.1066,63214.1983,DOWN,cheap_hold_h,6,100.00,-22.9082,45.6786,0,0,UP,h_entry_up_ask_0.40_gap_z_-0.11,false
1781245499092,9,btc-updown-5m-1781245200,CLOSED_TIME,27.0000,23.6250,-3.3750,63113.0018,63078.9824,UP,cheap_hold_h,6,100.00,5.7861,45.5429,4,4,DOWN,h_entry_down_ask_0.40_gap_z_+0.05,false
1781245799094,10,btc-updown-5m-1781245500,CLOSED_TIME,27.0000,14.1750,-12.8250,63069.6309,63106.8502,DOWN,cheap_hold_h,6,100.00,-6.6902,43.0929,10,1,UP,h_entry_up_ask_0.40_gap_z_-0.16,false
1781246099094,11,btc-updown-5m-1781245800,CLOSED_TIME,27.0000,0.0000,-27.0000,62854.3295,63069.8697,DOWN,cheap_hold_h,6,100.00,-34.4241,48.5000,0,0,UP,h_entry_up_ask_0.40_gap_z_-0.14,false
1781246399096,12,btc-updown-5m-1781246100,CLOSED_TIME,27.0000,27.6750,0.6750,62869.4405,62853.6388,UP,cheap_hold_h,6,100.00,2.1935,55.8000,16,6,DOWN,h_entry_down_ask_0.40_gap_z_+0.03,false
1781246699097,13,btc-updown-5m-1781246400,CLOSED_TIME,27.0000,23.5385,-3.4615,62843.9510,62872.7931,DOWN,cheap_hold_h,6,100.00,-3.5029,63.7786,12,3,UP,h_entry_up_ask_0.39_gap_z_-0.11,false
