timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,paired_shares,spent,returned,terminal_floor,terminal_floor_gap,mtm,unrealized_pnl
1781248814233,1,btc-updown-5m-1781248800,BUY,DOWN,27.00000000,usd,67.50000000,27.0000,0.4000,h_entry_down_ask_0.40_gap_z_+0.17,true,35.2500,285,5.00,62960.3900,1.094835,0.760796,-0.031459,62947.4708,12.9192,0.020524,0.6000,0.6200,0.3800,0.4000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781249045008,1,btc-updown-5m-1781248800,SELL,DOWN,67.50000000,shares,67.50000000,31.0500,0.4600,h_salvage_otm_bid_0.46_gap_z_+0.08,true,35.2500,54,82.00,62950.1385,0.977731,1.097981,0.188549,62947.4708,2.6677,0.004238,0.5300,0.5500,0.4600,0.4700,0.00000000,67.50000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,31.0500,4.0500
1781249110896,2,btc-updown-5m-1781249100,BUY,UP,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_up_ask_0.39_gap_z_-0.14,true,35.2500,289,3.67,62955.5562,-0.763605,-0.519943,0.050182,62966.7391,-11.1829,-0.017760,0.3800,0.3900,0.6200,0.6300,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781249324024,2,btc-updown-5m-1781249100,SELL,UP,69.23076923,shares,69.23076923,6.9231,0.1000,h_salvage_otm_bid_0.10_gap_z_-0.96,true,35.2500,75,75.00,62929.0247,-0.480073,-0.356328,-0.075416,62966.7391,-37.7144,-0.059896,0.1000,0.1100,0.8900,0.9200,69.23076923,0.00000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,6.9231,-20.0769
1781249432710,3,btc-updown-5m-1781249400,BUY,DOWN,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_down_ask_0.39_gap_z_+0.07,true,35.2500,267,11.00,62950.5886,0.373441,0.609640,-0.026311,62945.2902,5.2984,0.008418,0.6100,0.6200,0.3800,0.3900,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781249625285,3,btc-updown-5m-1781249400,SELL,DOWN,69.23076923,shares,69.23076923,26.3077,0.3800,h_salvage_otm_bid_0.38_gap_z_+0.08,true,36.1714,74,75.33,62948.6248,0.890884,1.020846,0.467592,62945.2902,3.3346,0.005298,0.6100,0.6200,0.3800,0.4000,0.00000000,69.23076923,0.00000000,27.0000,0.0000,0.0000,-27.0000,26.3077,-0.6923
1781249730468,4,btc-updown-5m-1781249700,BUY,DOWN,27.00000000,usd,67.50000000,27.0000,0.4000,h_entry_down_ask_0.40_gap_z_+0.02,true,36.5429,269,10.33,62934.2782,0.289273,0.152393,-0.001123,62932.5738,1.7044,0.002708,0.6000,0.6100,0.3900,0.4000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781249924031,4,btc-updown-5m-1781249700,SELL,DOWN,67.50000000,shares,67.50000000,29.0250,0.4300,h_salvage_otm_bid_0.43_gap_z_+0.03,true,33.0500,75,75.00,62933.6790,1.699218,1.132215,-0.080470,62932.5738,1.1052,0.001756,0.5700,0.5800,0.4300,0.4400,0.00000000,67.50000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,29.0250,2.0250
1781250013112,5,btc-updown-5m-1781250000,BUY,DOWN,27.00000000,usd,67.50000000,27.0000,0.4000,h_entry_down_ask_0.40_gap_z_+0.12,true,37.1571,286,4.67,62996.0660,0.682897,0.563061,-0.048673,62986.0745,9.9915,0.015863,0.6000,0.6100,0.3900,0.4000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781250249956,5,btc-updown-5m-1781250000,SELL,DOWN,67.50000000,shares,67.50000000,22.2750,0.3300,h_salvage_otm_bid_0.33_gap_z_+0.11,true,39.1357,50,83.33,62989.8921,0.257217,0.468535,0.332741,62986.0745,3.8176,0.006061,0.6600,0.6700,0.3300,0.3400,0.00000000,67.50000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,22.2750,-4.7250
1781250375190,6,btc-updown-5m-1781250300,BUY,UP,27.00000000,usd,67.50000000,27.0000,0.4000,h_entry_up_ask_0.40_gap_z_-0.09,true,38.2857,224,25.33,62971.0366,-0.387054,-0.420952,0.035206,62977.3327,-6.2962,-0.009998,0.3900,0.4000,0.6000,0.6100,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781250524025,6,btc-updown-5m-1781250300,SELL,UP,67.50000000,shares,67.50000000,37.8000,0.5600,h_salvage_otm_bid_0.56_gap_z_-0.51,true,36.7357,75,75.00,62956.5839,0.337856,0.698636,0.097752,62977.3327,-20.7488,-0.032946,0.5600,0.5700,0.4300,0.4400,67.50000000,0.00000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,37.8000,10.8000
1781250601300,7,btc-updown-5m-1781250600,BUY,UP,27.00000000,usd,67.50000000,27.0000,0.4000,h_entry_up_ask_0.40_gap_z_+0.00,true,31.6286,298,0.67,62963.4308,0.139742,0.121615,0.020089,62963.4308,0.0000,0.000000,0.3900,0.4000,0.6000,0.6100,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781250824016,7,btc-updown-5m-1781250600,SELL,UP,67.50000000,shares,67.50000000,8.7750,0.1300,h_salvage_otm_bid_0.13_gap_z_-1.02,true,25.3214,75,75.00,62934.5843,-0.137328,-0.200324,0.016652,62963.4308,-28.8465,-0.045815,0.1300,0.1400,0.8700,0.8800,67.50000000,0.00000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,8.7750,-18.2250
1781250909602,8,btc-updown-5m-1781250900,BUY,DOWN,27.00000000,usd,67.50000000,27.0000,0.4000,h_entry_down_ask_0.40_gap_z_-0.03,true,19.9286,290,3.33,62926.9667,-0.005855,-0.043128,0.010419,62928.4631,-1.4965,-0.002378,0.6000,0.6100,0.3900,0.4000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781251238978,9,btc-updown-5m-1781251200,BUY,DOWN,27.00000000,usd,67.50000000,27.0000,0.4000,h_entry_down_ask_0.40_gap_z_+0.16,true,37.4429,261,13.00,63027.6887,0.290521,0.353515,0.064953,63015.4768,12.2119,0.019379,0.6000,0.6100,0.3900,0.4000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
