timestamp,window_id,slug,event,status_before,current_atr,spot_price,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask
1781251499074,1,btc-updown-5m-1781251500,promote_skipped,WAITING_ENTRY,38.9429,63045.1258,,,,0.4300,0.4700,0.5300,0.5700
1781251799078,2,btc-updown-5m-1781251800,promote_skipped,WAITING_ENTRY,38.9429,63192.3892,,,,0.4400,0.4500,0.5500,0.5600
1781252099078,3,btc-updown-5m-1781252100,promote_skipped,WAITING_ENTRY,38.9429,63221.5185,,,,0.4600,0.4700,0.5400,0.5600
1781252399076,4,btc-updown-5m-1781252400,promote_skipped,WAITING_ENTRY,47.4786,63374.3300,,,,0.4300,0.4500,0.5600,0.5700
1781252699079,5,btc-updown-5m-1781252700,promote_skipped,WAITING_ENTRY,56.6929,63424.2690,,,,0.4200,0.4300,0.5800,0.5900
1781252999079,6,btc-updown-5m-1781253000,promote_skipped,WAITING_ENTRY,59.5071,63444.4762,,,,0.3900,0.4200,0.6000,0.6100
1781253299082,7,btc-updown-5m-1781253300,promote_skipped,WAITING_ENTRY,50.5214,63411.9522,,,,0.4200,0.4400,0.5700,0.5800
1781253599082,8,btc-updown-5m-1781253600,promote_skipped,WAITING_ENTRY,38.1571,63401.5552,,,,0.4600,0.4700,0.5400,0.5500
1781253899085,9,btc-updown-5m-1781253900,promote_skipped,WAITING_ENTRY,35.4786,63308.9519,,,,0.4800,0.5200,0.5100,0.5200
1781254199083,10,btc-updown-5m-1781254200,promote_skipped,WAITING_ENTRY,34.9357,63348.3335,,,,0.4500,0.4600,0.5500,0.5600
1781254499083,11,btc-updown-5m-1781254500,promote_skipped,WAITING_ENTRY,34.3929,63375.7491,,,,0.4600,0.4700,0.5400,0.5500
1781254799086,12,btc-updown-5m-1781254800,promote_skipped,WAITING_ENTRY,30.5929,63392.0409,,,,0.4600,0.4700,0.5300,0.5400
1781255099088,13,btc-updown-5m-1781255100,promote_skipped,WAITING_ENTRY,28.3429,63356.0296,,,,0.4500,0.4600,0.5500,0.5600
1781255399089,14,btc-updown-5m-1781255400,promote_skipped,WAITING_ENTRY,34.4929,63433.2902,,,,0.4900,0.5000,0.5000,0.5100
1781255699091,15,btc-updown-5m-1781255700,promote_skipped,WAITING_ENTRY,38.3643,63469.9091,,,,0.4600,0.4700,0.5400,0.5500
1781255999092,16,btc-updown-5m-1781256000,promote_skipped,WAITING_ENTRY,41.9786,63500.8957,,,,0.4400,0.4500,0.5600,0.5700
1781256299093,17,btc-updown-5m-1781256300,promote_skipped,WAITING_ENTRY,44.0643,63589.5039,,,,0.4200,0.4300,0.5800,0.5900
1781256599094,18,btc-updown-5m-1781256600,promote_skipped,WAITING_ENTRY,45.5643,63685.9946,,,,0.4400,0.4500,0.5500,0.5600
1781256899097,19,btc-updown-5m-1781256900,promote_skipped,WAITING_ENTRY,50.6357,63822.0527,,,,0.4400,0.4500,0.5600,0.5700
1781257199097,20,btc-updown-5m-1781257200,promote_skipped,WAITING_ENTRY,49.0429,63780.6461,,,,0.4700,0.4800,0.5200,0.5700
1781257499098,21,btc-updown-5m-1781257500,promote_skipped,WAITING_ENTRY,45.3500,63815.6805,,,,0.4100,0.4200,0.5900,0.6000
1781257799099,22,btc-updown-5m-1781257800,promote_skipped,WAITING_ENTRY,43.3214,63760.4563,,,,0.4400,0.4500,0.5600,0.5700
1781258099102,23,btc-updown-5m-1781258100,promote_skipped,WAITING_ENTRY,40.6786,63717.3624,,,,0.4900,0.5100,0.5100,0.5200
1781258399103,24,btc-updown-5m-1781258400,promote_skipped,WAITING_ENTRY,41.7571,63679.2361,,,,0.4700,0.4800,0.5300,0.5400
1781258699104,25,btc-updown-5m-1781258700,promote_skipped,WAITING_ENTRY,37.4714,63639.7780,,,,0.5200,0.5300,0.4900,0.5000
1781258999102,26,btc-updown-5m-1781259000,promote_skipped,WAITING_ENTRY,35.1786,63730.8908,,,,0.5100,0.5200,0.4900,0.5000
1781259299105,27,btc-updown-5m-1781259300,promote_skipped,WAITING_ENTRY,46.4714,63693.3743,,,,0.4800,0.5000,0.5200,0.5300
1781259599103,28,btc-updown-5m-1781259600,promote_skipped,WAITING_ENTRY,46.6786,63691.0444,,,,0.4800,0.4900,0.5200,0.5300
1781259899106,29,btc-updown-5m-1781259900,promote_skipped,WAITING_ENTRY,42.3000,63719.1752,,,,0.5200,0.5300,0.4800,0.4900
1781260199107,30,btc-updown-5m-1781260200,promote_skipped,WAITING_ENTRY,46.4286,63540.1209,,,,0.5500,0.5600,0.4500,0.4600
1781260499105,31,btc-updown-5m-1781260500,promote_skipped,WAITING_ENTRY,50.1786,63654.2016,,,,0.4900,0.5000,0.5100,0.5300
1781260799109,32,btc-updown-5m-1781260800,promote_skipped,WAITING_ENTRY,56.0929,63639.5822,,,,0.4800,0.4900,0.5200,0.5300
