timestamp,window_id,slug,pnl,entry_side,real_winner_side,h_market_win,h_salvaged,h_salvage_win,entry_price,exit_price,cum_market_wins,cum_market_losses,cum_salvage_escapes,cum_salvage_wins
1781531099113,1,btc-updown-15m-1781530200,-27.0000,UP,DOWN,false,false,false,0.40,,0,1,0,0
1781531999114,2,btc-updown-15m-1781531100,-23.6250,UP,DOWN,false,true,false,0.40,0.05,0,2,1,0
1781533799120,4,btc-updown-15m-1781532900,-17.3077,DOWN,UP,false,true,false,0.39,0.14,0,3,2,0
1781534699124,5,btc-updown-15m-1781533800,-13.8462,UP,DOWN,false,true,false,0.39,0.19,0,4,3,0
1781537399134,8,btc-updown-15m-1781536500,42.2308,UP,UP,true,false,false,0.39,1.00,1,4,3,0
1781538299138,9,btc-updown-15m-1781537400,42.2308,UP,UP,true,false,false,0.39,1.00,2,4,3,0
1781539199144,10,btc-updown-15m-1781538300,-27.0000,DOWN,UP,false,false,false,0.39,,2,5,3,0
1781540999149,12,btc-updown-15m-1781540100,-15.9231,UP,DOWN,false,true,false,0.39,0.16,2,6,4,0
1781541899155,13,btc-updown-15m-1781541000,-11.4750,DOWN,DOWN,true,true,false,0.40,0.23,3,6,5,0
1781542799159,14,btc-updown-15m-1781541900,-20.7692,UP,DOWN,false,true,false,0.39,0.09,3,7,6,0
1781544599166,16,btc-updown-15m-1781543700,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,4,7,6,0
1781546399177,18,btc-updown-15m-1781545500,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,5,7,6,0
1781547299176,19,btc-updown-15m-1781546400,-23.6250,UP,DOWN,false,true,false,0.40,0.05,5,8,7,0
1781548199184,20,btc-updown-15m-1781547300,-14.1750,DOWN,UP,false,true,false,0.40,0.19,5,9,8,0
1781549099186,21,btc-updown-15m-1781548200,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,6,9,8,0
1781549999191,22,btc-updown-15m-1781549100,-12.8250,DOWN,DOWN,true,true,false,0.40,0.21,7,9,9,0
1781550899195,23,btc-updown-15m-1781550000,-27.0000,DOWN,UP,false,false,false,0.40,,7,10,9,0
1781551799199,24,btc-updown-15m-1781550900,-27.0000,UP,DOWN,false,false,false,0.38,,7,11,9,0
1781552699204,25,btc-updown-15m-1781551800,-27.0000,DOWN,UP,false,false,false,0.38,,7,12,9,0
1781554499210,27,btc-updown-15m-1781553600,-18.9000,UP,DOWN,false,true,false,0.40,0.12,7,13,10,0
1781555399216,28,btc-updown-15m-1781554500,40.5000,UP,UP,true,false,false,0.40,1.00,8,13,10,0
1781556299221,29,btc-updown-15m-1781555400,-23.5385,DOWN,UP,false,true,false,0.39,0.05,8,14,11,0
1781557199228,30,btc-updown-15m-1781556300,-27.0000,UP,DOWN,false,false,false,0.40,,8,15,11,0
1781558099229,31,btc-updown-15m-1781557200,-18.2250,UP,DOWN,false,true,false,0.40,0.13,8,16,12,0
1781559899235,33,btc-updown-15m-1781559000,-17.3077,DOWN,UP,false,true,false,0.39,0.14,8,17,13,0
1781560799240,34,btc-updown-15m-1781559900,-23.3514,UP,DOWN,false,true,false,0.37,0.05,8,18,14,0
1781561699242,35,btc-updown-15m-1781560800,-23.6250,DOWN,DOWN,true,true,false,0.40,0.05,9,18,15,0
