timestamp,window_id,slug,type,side,reason,price,shares,usd_value,cash_after
1781530550121,2,btc-updown-5m-1781530500,BUY,UP,h_entry_up_ask_0.40_gap_z_-0.11_active_xc1,0.4000,67.50000000,27.0000,473.0000
1781530739008,2,btc-updown-5m-1781530500,SELL,UP,h_salvage_otm_bid_0.08_gap_z_-0.88,0.0800,67.50000000,5.4000,478.4000
1781531161745,4,btc-updown-5m-1781531100,BUY,UP,h_entry_up_ask_0.40_gap_z_-0.16_active_xc0,0.4000,67.50000000,27.0000,451.4000
1781531399853,4,btc-updown-5m-1781531100,REDEEM,UP,option_expired_itm_win_1.00,1.0000,67.50000000,67.5000,518.9000
1781531448106,5,btc-updown-5m-1781531400,BUY,DOWN,h_entry_down_ask_0.40_gap_z_+0.09_active_xc2,0.4000,67.50000000,27.0000,491.9000
1781531699854,5,btc-updown-5m-1781531400,REDEEM,DOWN,option_expired_itm_win_1.00,1.0000,67.50000000,67.5000,559.4000
1781531723011,6,btc-updown-5m-1781531700,BUY,DOWN,h_entry_down_ask_0.40_gap_z_+0.10_active_xc0,0.4000,67.50000000,27.0000,532.4000
1781531999856,6,btc-updown-5m-1781531700,REDEEM,DOWN,option_expired_itm_win_1.00,1.0000,67.50000000,67.5000,599.9000
1781532041840,7,btc-updown-5m-1781532000,BUY,UP,h_entry_up_ask_0.39_gap_z_-0.16_active_xc0,0.3900,69.23076923,27.0000,572.9000
1781532239672,7,btc-updown-5m-1781532000,SELL,UP,h_salvage_otm_bid_0.05_gap_z_-1.23,0.0500,69.23076923,3.4615,576.3615
1781532323749,8,btc-updown-5m-1781532300,BUY,DOWN,h_entry_down_ask_0.40_gap_z_+0.12_active_xc0,0.4000,67.50000000,27.0000,549.3615
1781532562539,8,btc-updown-5m-1781532300,SELL,DOWN,h_salvage_otm_bid_0.24_gap_z_+0.52,0.2400,67.50000000,16.2000,565.5615
1781532923048,10,btc-updown-5m-1781532900,BUY,DOWN,h_entry_down_ask_0.37_gap_z_+0.09_active_xc0,0.3700,72.97297297,27.0000,538.5615
1781533139133,10,btc-updown-5m-1781532900,SELL,DOWN,h_salvage_otm_bid_0.05_gap_z_+1.21,0.0500,72.97297297,3.6486,542.2102
1781533225634,11,btc-updown-5m-1781533200,BUY,UP,h_entry_up_ask_0.40_gap_z_-0.12_active_xc0,0.4000,67.50000000,27.0000,515.2102
1781533439043,11,btc-updown-5m-1781533200,SELL,UP,h_salvage_otm_bid_0.06_gap_z_-0.86,0.0600,67.50000000,4.0500,519.2602
1781533528952,12,btc-updown-5m-1781533500,BUY,DOWN,h_entry_down_ask_0.40_gap_z_+0.09_active_xc0,0.4000,67.50000000,27.0000,492.2602
1781533799860,12,btc-updown-5m-1781533500,EXPIRED,DOWN,option_expired_otm_loss_0.00,0.0000,67.50000000,0.0000,492.2602
1781533865098,13,btc-updown-5m-1781533800,BUY,UP,h_entry_up_ask_0.40_gap_z_-0.16_active_xc0,0.4000,67.50000000,27.0000,465.2602
1781534060998,13,btc-updown-5m-1781533800,SELL,UP,h_salvage_otm_bid_0.16_gap_z_-0.53,0.1600,67.50000000,10.8000,476.0602
