timestamp,window_id,slug,event,from_side,to_side,up_mid,down_mid,lead_gap,peak_prev_gap,is_significant,cross_count,significant_cross_count,time_pct,secs_to_end,current_atr,spot_price,ptb,ptb_delta_usd,spot_velocity,spot_smoothed_velocity,spot_acceleration
1781700509097,0,btc-updown-5m-1781700300,armed_init,,UP,0.4950,0.0050,0.4900,0.0000,false,0,0,70.00,90,50.1500,,,,,,
1781700623026,1,btc-updown-5m-1781700600,armed_init,,DOWN,0.4650,0.5350,0.0700,0.0000,false,0,0,8.00,276,50.1500,64967.8513,64967.0408,0.8105,0.040329,0.070607,-0.050827
1781700923186,2,btc-updown-5m-1781700900,armed_init,,UP,0.5650,0.4450,0.1200,0.0000,false,0,0,8.00,276,50.1500,64909.3181,64897.9099,11.4082,0.565816,0.186241,-0.124331
1781701223421,3,btc-updown-5m-1781701200,armed_init,,DOWN,0.2650,0.7350,0.4700,0.0000,false,0,0,8.00,276,50.1500,64963.8168,64992.0616,-28.2448,-1.167856,-1.087634,0.088026
1781701264059,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5150,0.5000,0.0150,0.5850,true,1,1,21.67,235,50.1500,64983.2154,64992.0616,-8.8462,1.457714,0.614356,-1.141188
1781701264660,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.5050,0.5150,0.0100,0.0350,false,2,1,21.67,235,50.1500,64983.2154,64992.0616,-8.8462,1.170883,0.565235,-0.049121
1781701264661,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0100,false,3,1,21.67,235,50.1500,64983.2154,64992.0616,-8.8462,1.170883,0.565235,-0.049121
1781701264688,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.5050,0.5150,0.0100,0.0100,false,4,1,21.67,235,50.1500,64983.2154,64992.0616,-8.8462,1.170883,0.565235,-0.049121
1781701266047,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.1100,false,5,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266047,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.5150,0.5550,0.0400,0.0300,false,6,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266049,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.0550,false,7,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266049,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.5150,0.5650,0.0500,0.0300,false,8,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266051,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.0500,false,9,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266072,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4800,0.5200,0.0400,0.0300,false,10,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266200,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5250,0.5050,0.0200,0.0750,false,11,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266209,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0200,false,12,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266218,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5250,0.5050,0.0200,0.0100,false,13,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266223,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0200,false,14,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266262,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,false,15,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266292,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0450,false,16,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266293,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5350,0.5050,0.0300,0.0100,false,17,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266298,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0300,false,18,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266305,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5350,0.5050,0.0300,0.0100,false,19,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266331,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4950,0.5150,0.0200,0.0300,false,20,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266332,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,false,21,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266355,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0250,false,22,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266408,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,false,23,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266414,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.5050,0.5250,0.0200,0.0100,false,24,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266419,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,false,25,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266433,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4900,0.5100,0.0200,0.0200,false,26,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266440,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5350,0.5100,0.0250,0.0200,false,27,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266447,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4900,0.5100,0.0200,0.0250,false,28,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266448,3,btc-updown-5m-1781701200,mid_cross,DOWN,UP,0.5350,0.5100,0.0250,0.0200,false,29,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
1781701266453,3,btc-updown-5m-1781701200,mid_cross,UP,DOWN,0.4850,0.5100,0.0250,0.0250,false,30,1,22.33,233,50.1500,64985.6687,64992.0616,-6.3928,1.293165,0.716202,0.150967
