timestamp,window_id,slug,event,from_side,to_side,up_mid,down_mid,lead_gap,peak_prev_gap,is_significant,cross_count,significant_cross_count,time_pct,secs_to_end,current_atr,spot_price,ptb,ptb_delta_usd,spot_velocity,spot_smoothed_velocity,spot_acceleration
1781765954654,0,eth-updown-15m-1781765100,armed_init,,DOWN,0.4750,0.5250,0.0500,0.0000,false,0,0,95.00,45,1.1450,1733.9595,1733.9595,0.0000,,,
1781765963402,0,eth-updown-15m-1781765100,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0700,false,1,0,96.00,36,1.1450,1733.9373,1733.9595,-0.0222,-0.002464,-0.007426,0.000520
1781765997215,0,eth-updown-15m-1781765100,mid_cross,UP,DOWN,0.5050,0.5550,0.0500,0.9750,true,2,1,99.78,2,1.1450,1734.1669,1733.9595,0.2074,-0.011425,-0.015875,0.000846
1781765997477,0,eth-updown-15m-1781765100,mid_cross,DOWN,UP,0.5350,0.4650,0.0700,0.0500,false,3,1,99.78,2,1.1450,1734.1778,1733.9595,0.2182,-0.010363,-0.013735,0.002140
1781765997903,0,eth-updown-15m-1781765100,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.1250,false,4,1,99.78,2,1.1450,1734.1778,1733.9595,0.2182,-0.010363,-0.013735,0.002140
1781765997919,0,eth-updown-15m-1781765100,mid_cross,DOWN,UP,0.5850,0.5050,0.0800,0.0100,false,5,1,99.78,2,1.1450,1734.1778,1733.9595,0.2182,-0.010363,-0.013735,0.002140
1781765999272,0,eth-updown-15m-1781765100,mid_cross,UP,DOWN,0.4900,0.5100,0.0200,0.2800,true,6,2,100.00,0,1.1450,1734.0018,1733.9595,0.0422,-0.020270,-0.025307,-0.007770
1781765999272,0,eth-updown-15m-1781765100,mid_cross,DOWN,UP,0.5450,0.5100,0.0350,0.0200,false,7,2,100.00,0,1.1450,1734.0018,1733.9595,0.0422,-0.020270,-0.025307,-0.007770
1781765999333,0,eth-updown-15m-1781765100,mid_cross,UP,DOWN,0.5350,0.5950,0.0600,0.1750,false,8,2,100.00,0,1.1450,1734.0018,1733.9595,0.0422,-0.020270,-0.025307,-0.007770
1781766071561,1,eth-updown-15m-1781766000,armed_init,,DOWN,0.3700,0.5900,0.2200,0.0000,false,0,0,8.00,828,1.1450,1732.9298,1733.9045,-0.9747,-0.033808,-0.045922,-0.017635
1781766214780,1,eth-updown-15m-1781766000,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.3700,true,1,1,23.89,685,1.1450,1733.9911,1733.9045,0.0866,0.014594,0.013297,0.000165
1781766249398,1,eth-updown-15m-1781766000,mid_cross,UP,DOWN,0.4900,0.5100,0.0200,0.1950,false,2,1,27.78,650,1.1450,1734.1177,1733.9045,0.2132,-0.008986,-0.016526,-0.003434
1781766317487,1,eth-updown-15m-1781766000,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.1550,false,3,1,35.33,582,1.1450,1733.9625,1733.9045,0.0580,0.001932,0.008507,0.000384
