timestamp,window_id,slug,cross_count,significant_cross_count,final_side,last_cross_atr
1781765999358,0,eth-updown-15m-1781765100,8,2,DOWN,1.1450000000000304
1781766899364,1,eth-updown-15m-1781766000,6,1,DOWN,1.1450000000000304
1781767799368,2,eth-updown-15m-1781766900,0,0,UP,1.354285714285717
1781768699371,3,eth-updown-15m-1781767800,3,1,UP,1.5092857142857383
1781769599377,4,eth-updown-15m-1781768700,11,4,UP,1.1657142857142486
1781770499382,5,eth-updown-15m-1781769600,2,2,DOWN,1.8192857142857324
1781771399386,6,eth-updown-15m-1781770500,6,1,UP,1.8399999999999994
1781772299389,7,eth-updown-15m-1781771400,0,0,UP,1.1421428571428416
1781773199394,8,eth-updown-15m-1781772300,6,1,DOWN,1.2607142857142273
1781774099395,9,eth-updown-15m-1781773200,0,0,DOWN,0.977142857142878
1781774999396,10,eth-updown-15m-1781774100,9,1,DOWN,1.3900000000000026
1781775899400,11,eth-updown-15m-1781775000,4,0,UP,1.4892857142856915
1781776799407,12,eth-updown-15m-1781775900,9,3,DOWN,0.8778571428571078
1781777699411,13,eth-updown-15m-1781776800,7,3,DOWN,0.8778571428571402
1781778599417,14,eth-updown-15m-1781777700,8,4,UP,1.5042857142857105
1781779499416,15,eth-updown-15m-1781778600,7,5,DOWN,1.4828571428571584
1781780399419,16,eth-updown-15m-1781779500,2,0,UP,1.4914285714286117
1781781299421,17,eth-updown-15m-1781780400,7,3,DOWN,1.4707142857142799
1781782199423,18,eth-updown-15m-1781781300,8,3,DOWN,1.5028571428571564
1781783099927,19,eth-updown-15m-1781782200,2,1,DOWN,1.4464285714285714
1781783999935,20,eth-updown-15m-1781783100,11,5,DOWN,1.2492857142857312
1781784899938,21,eth-updown-15m-1781784000,6,3,UP,1.3707142857143384
1781785799943,22,eth-updown-15m-1781784900,3,2,UP,1.5114285714285773
1781786699948,23,eth-updown-15m-1781785800,0,0,DOWN,1.647142857142837
1781787599951,24,eth-updown-15m-1781786700,4,2,UP,1.23785714285717
1781788499956,25,eth-updown-15m-1781787600,12,4,DOWN,1.3578571428571584
1781789399963,26,eth-updown-15m-1781788500,10,4,DOWN,1.2814285714285591
1781790299968,27,eth-updown-15m-1781789400,0,0,DOWN,1.5135714285714161
1781791199973,28,eth-updown-15m-1781790300,2,1,UP,3.4242857142857184
1781792099977,29,eth-updown-15m-1781791200,11,3,DOWN,2.8142857142857047
1781792999980,30,eth-updown-15m-1781792100,0,0,UP,2.9042857142857037
1781793899986,31,eth-updown-15m-1781793000,0,0,UP,2.725000000000039
1781794799990,32,eth-updown-15m-1781793900,2,2,UP,2.4885714285713902
1781795699992,33,eth-updown-15m-1781794800,0,0,DOWN,2.589999999999967
1781796599996,34,eth-updown-15m-1781795700,5,1,DOWN,2.2328571428571586
1781797499999,35,eth-updown-15m-1781796600,1,1,DOWN,3.8542857142856843
1781798399003,36,eth-updown-15m-1781797500,0,0,DOWN,4.896428571428585
1781799299009,37,eth-updown-15m-1781798400,0,0,UP,5.042857142857104
1781800199008,38,eth-updown-15m-1781799300,10,4,DOWN,2.8742857142857474
1781801257431,39,eth-updown-15m-1781800200,2,0,DOWN,2.7807142857143066
1781801999304,40,eth-updown-15m-1781801100,6,3,DOWN,2.7807142857143066
1781802899317,41,eth-updown-15m-1781802000,2,1,DOWN,2.7807142857143066
1781803799320,42,eth-updown-15m-1781802900,1,1,DOWN,2.7807142857143066
1781804699326,43,eth-updown-15m-1781803800,8,2,UP,2.7807142857143066
1781805662588,44,eth-updown-15m-1781804700,6,3,DOWN,2.7807142857143066
1781806719910,45,eth-updown-15m-1781805600,1,0,DOWN,2.7807142857143066
1781807399344,46,eth-updown-15m-1781806500,0,0,UP,2.7807142857143066
1781808299350,47,eth-updown-15m-1781807400,4,1,DOWN,2.7807142857143066
1781809199351,48,eth-updown-15m-1781808300,9,2,UP,2.7807142857143066
1781810099354,49,eth-updown-15m-1781809200,11,6,UP,2.7807142857143066
1781810999359,50,eth-updown-15m-1781810100,10,1,UP,2.7807142857143066
1781811899380,51,eth-updown-15m-1781811000,3,0,UP,2.7807142857143066
1781812799370,52,eth-updown-15m-1781811900,4,2,UP,2.7807142857143066
1781813699371,53,eth-updown-15m-1781812800,0,0,UP,2.7807142857143066
1781814599375,54,eth-updown-15m-1781813700,1,1,UP,2.7807142857143066
1781815499381,55,eth-updown-15m-1781814600,23,6,UP,2.7807142857143066
