timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,paired_shares,spent,returned,terminal_floor,terminal_floor_gap,mtm,unrealized_pnl
1781766063252,1,eth-updown-5m-1781766000,BUY,UP,27.00000000,usd,75.00000000,27.0000,0.3600,h_entry_up_ask_0.36_gap_z_-0.13_active_xc6,true,1.1450,236,21.33,1733.6021,-0.005622,-0.006116,-0.002899,1733.9045,-0.3023,-0.017437,0.3500,0.3600,0.5600,0.5700,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781766360099,2,eth-updown-5m-1781766300,BUY,UP,27.00000000,usd,75.00000000,27.0000,0.3600,h_entry_up_ask_0.36_gap_z_-0.05_active_xc1,true,1.1450,239,20.33,1733.7554,-0.008717,0.003996,-0.000325,1733.8746,-0.1192,-0.006873,0.3500,0.3600,0.5700,0.5800,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781766550053,2,eth-updown-5m-1781766300,SELL,UP,75.00000000,shares,75.00000000,6.7500,0.0900,h_salvage_otm_bid_0.09_gap_z_-0.53,true,1.1450,49,83.67,1733.3297,0.022360,0.016772,-0.004690,1733.8746,-0.5449,-0.031427,0.0900,0.1500,0.8500,0.8600,75.00000000,0.00000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,6.7500,-20.2500
1781767252099,5,eth-updown-5m-1781767200,BUY,DOWN,27.00000000,usd,75.00000000,27.0000,0.3600,h_entry_down_ask_0.36_gap_z_+0.11_active_xc1,true,1.4779,247,17.67,1737.6355,0.018469,0.021703,-0.002003,1737.2976,0.3379,0.019447,0.6400,0.6500,0.3500,0.3600,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781767569352,6,eth-updown-5m-1781767500,BUY,DOWN,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_down_ask_0.39_gap_z_+0.13_active_xc1,true,1.7457,230,23.33,1742.5649,0.004162,-0.002831,0.000351,1742.1188,0.4461,0.025608,0.6100,0.6400,0.3600,0.3900,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781768483044,9,eth-updown-5m-1781768400,BUY,UP,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_up_ask_0.39_gap_z_-0.15_active_xc2,true,1.7507,216,28.00,1746.2549,0.021354,0.018824,0.005950,1746.7385,-0.4836,-0.027683,0.3800,0.3900,0.6000,0.6100,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781769085236,11,eth-updown-5m-1781769000,BUY,UP,27.00000000,usd,75.00000000,27.0000,0.3600,h_entry_up_ask_0.36_gap_z_-0.00_active_xc2,true,1.3679,214,28.67,1748.2024,-0.001136,0.001008,-0.000156,1748.2025,-0.0001,-0.000004,0.3500,0.3600,0.5400,0.5700,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781769266225,11,eth-updown-5m-1781769000,SELL,UP,75.00000000,shares,75.00000000,4.5000,0.0600,h_salvage_otm_bid_0.06_gap_z_-0.33,true,1.0843,33,89.00,1747.9390,-0.022399,-0.009372,-0.001610,1748.2025,-0.2635,-0.015072,0.0600,0.0700,0.7800,0.7900,75.00000000,0.00000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,4.5000,-22.5000
1781769928532,14,eth-updown-5m-1781769900,BUY,DOWN,27.00000000,usd,75.00000000,27.0000,0.3600,h_entry_down_ask_0.36_gap_z_+0.03_active_xc1,true,1.3736,271,9.67,1745.1816,0.019904,0.020467,-0.002461,1745.0972,0.0845,0.004841,0.6500,0.6600,0.3500,0.3600,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781770296114,15,eth-updown-5m-1781770200,BUY,UP,27.00000000,usd,72.97297297,27.0000,0.3700,h_entry_up_ask_0.37_gap_z_-0.01_active_xc6,true,1.8100,203,32.33,1751.2847,0.006030,-0.001384,-0.003906,1751.3279,-0.0432,-0.002466,0.3600,0.3700,0.5500,0.5600,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781770869575,17,eth-updown-5m-1781770800,BUY,UP,27.00000000,usd,72.97297297,27.0000,0.3700,h_entry_up_ask_0.37_gap_z_-0.10_active_xc3,true,1.9664,230,23.33,1747.6060,-0.031664,-0.024776,0.002178,1747.9773,-0.3713,-0.021244,0.3600,0.3700,0.5900,0.6400,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781771062184,17,eth-updown-5m-1781770800,SELL,UP,72.97297297,shares,72.97297297,8.0270,0.1100,h_salvage_otm_bid_0.11_gap_z_-0.44,true,1.5679,37,87.67,1747.4340,-0.017699,-0.021284,-0.000333,1747.9773,-0.5433,-0.031080,0.1100,0.1300,0.8700,0.8800,72.97297297,0.00000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,8.0270,-18.9730
1781771183598,18,eth-updown-5m-1781771100,BUY,DOWN,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_down_ask_0.39_gap_z_+0.04_active_xc1,true,1.4693,216,28.00,1747.8280,0.017912,0.017219,0.001068,1747.7099,0.1181,0.006758,0.6100,0.6200,0.3800,0.3900,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781771342104,18,eth-updown-5m-1781771100,SELL,DOWN,69.23076923,shares,69.23076923,7.6154,0.1100,h_salvage_otm_bid_0.11_gap_z_+0.13,true,1.1707,57,81.00,1747.8624,-0.001641,-0.001948,0.000674,1747.7099,0.1524,0.008721,0.8800,0.8900,0.1100,0.1200,0.00000000,69.23076923,0.00000000,27.0000,0.0000,0.0000,-27.0000,7.6154,-19.3846
1781772342309,22,eth-updown-5m-1781772300,BUY,UP,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_up_ask_0.39_gap_z_+0.09_aligned_xc2,true,1.2429,257,14.33,1749.2786,0.027788,0.023906,-0.001611,1749.0400,0.2386,0.013641,0.3800,0.3900,0.6100,0.6200,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781772644380,23,eth-updown-5m-1781772600,BUY,UP,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_up_ask_0.39_gap_z_-0.04_active_xc2,true,1.3450,255,15.00,1749.1464,-0.002990,-0.009210,-0.004684,1749.2513,-0.1049,-0.005994,0.3800,0.3900,0.6000,0.6100,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781772841386,23,eth-updown-5m-1781772600,SELL,UP,69.23076923,shares,69.23076923,3.4615,0.0500,h_salvage_otm_bid_0.05_gap_z_-0.99,true,1.0829,58,80.67,1748.1954,0.003045,0.003159,-0.004869,1749.2513,-1.0558,-0.060360,0.0500,0.0600,0.9400,0.9600,69.23076923,0.00000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,3.4615,-23.5385
1781773534829,26,eth-updown-5m-1781773500,BUY,DOWN,27.00000000,usd,71.05263158,27.0000,0.3800,h_entry_down_ask_0.38_gap_z_+0.05_active_xc1,true,1.1350,265,11.67,1744.5825,0.021727,0.020007,0.010121,1744.4569,0.1257,0.007204,0.6200,0.6300,0.3700,0.3800,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781773746646,26,eth-updown-5m-1781773500,SELL,DOWN,71.05263158,shares,71.05263158,8.5263,0.1200,h_salvage_otm_bid_0.12_gap_z_+0.58,true,1.1429,53,82.33,1745.0748,0.005319,0.005533,-0.000210,1744.4569,0.6180,0.035425,0.8500,0.8800,0.1200,0.1500,0.00000000,71.05263158,0.00000000,27.0000,0.0000,0.0000,-27.0000,8.5263,-18.4737
1781775084259,31,eth-updown-5m-1781775000,BUY,UP,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_up_ask_0.39_gap_z_-0.16_active_xc1,true,1.4000,215,28.33,1741.5583,-0.057057,-0.065614,-0.001254,1741.9745,-0.4162,-0.023893,0.3500,0.3900,0.6000,0.6100,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781777490009,39,eth-updown-5m-1781777400,BUY,UP,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_up_ask_0.39_gap_z_-0.06_active_xc1,true,1.1593,209,30.33,1740.9104,-0.027929,-0.039537,-0.003607,1741.0398,-0.1294,-0.007432,0.3800,0.3900,0.6200,0.6300,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781777680011,39,eth-updown-5m-1781777400,SELL,UP,69.23076923,shares,69.23076923,5.5385,0.0800,h_salvage_otm_bid_0.08_gap_z_-0.16,true,1.3207,19,93.67,1740.9230,-0.016107,-0.029695,-0.033531,1741.0398,-0.1168,-0.006708,0.0800,0.0900,0.9200,0.9300,69.23076923,0.00000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,5.5385,-21.4615
1781777740077,40,eth-updown-5m-1781777700,BUY,DOWN,27.00000000,usd,72.97297297,27.0000,0.3700,h_entry_down_ask_0.37_gap_z_+0.04_active_xc3,true,1.4379,259,13.67,1740.0145,0.033024,0.034825,0.025599,1739.8953,0.1193,0.006855,0.6300,0.6400,0.3600,0.3700,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781778963982,44,eth-updown-5m-1781778900,BUY,UP,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_up_ask_0.39_gap_z_+0.13_aligned_xc1,true,1.2779,236,21.33,1740.6425,0.002555,0.002050,-0.013262,1740.3054,0.3371,0.019369,0.3800,0.3900,0.6000,0.6100,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781779173155,44,eth-updown-5m-1781778900,SELL,UP,69.23076923,shares,69.23076923,7.6154,0.1100,h_salvage_otm_bid_0.11_gap_z_-0.39,true,1.5436,26,91.33,1739.9094,-0.001685,-0.005427,0.000472,1740.3054,-0.3960,-0.022756,0.1100,0.1200,0.8700,0.8800,69.23076923,0.00000000,0.00000000,27.0000,0.0000,0.0000,-27.0000,7.6154,-19.3846
1781779241967,45,eth-updown-5m-1781779200,BUY,DOWN,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_down_ask_0.39_gap_z_+0.04_active_xc1,true,1.5393,258,14.00,1740.1661,0.019610,0.032082,0.001930,1740.0254,0.1407,0.008089,0.6100,0.6200,0.3800,0.3900,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781779557398,46,eth-updown-5m-1781779500,BUY,DOWN,27.00000000,usd,69.23076923,27.0000,0.3900,h_entry_down_ask_0.39_gap_z_+0.07_active_xc5,true,1.4479,242,19.33,1739.1426,0.015533,0.009626,-0.000707,1738.9363,0.2063,0.011863,0.6100,0.6300,0.3700,0.3900,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
