timestamp,window_id,slug,event,from_side,to_side,up_mid,down_mid,lead_gap,peak_prev_gap,is_significant,cross_count,significant_cross_count,time_pct,secs_to_end,current_atr,spot_price,ptb,ptb_delta_usd,spot_velocity,spot_smoothed_velocity,spot_acceleration
1781821617248,0,sol-updown-5m-1781821500,armed_init,,DOWN,0.3750,0.6250,0.2500,0.0000,false,0,0,39.33,182,0.0643,,30.0000,,,,
1781821645607,0,sol-updown-5m-1781821500,mid_cross,DOWN,UP,0.5250,0.5100,0.0150,0.2750,true,1,1,48.67,154,0.0657,69.4454,30.0000,39.4454,-0.000042,0.000655,-0.000067
1781821705592,0,sol-updown-5m-1781821500,mid_cross,UP,DOWN,0.4850,0.5050,0.0200,0.4100,true,2,2,68.67,94,0.0657,69.4784,30.0000,39.4784,0.000521,0.000312,-0.000027
1781821711739,0,sol-updown-5m-1781821500,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.1750,false,3,2,70.67,88,0.0657,69.4491,30.0000,39.4491,-0.001063,-0.001531,0.000239
1781821718861,0,sol-updown-5m-1781821500,mid_cross,UP,DOWN,0.5000,0.5150,0.0150,0.0400,false,4,2,73.00,81,0.0657,69.4499,30.0000,39.4499,-0.001410,-0.000809,0.000068
1781821722075,0,sol-updown-5m-1781821500,mid_cross,DOWN,UP,0.5150,0.5050,0.0100,0.0200,false,5,2,74.33,77,0.0657,69.4489,30.0000,39.4489,-0.001471,-0.000699,0.000061
1781821723770,0,sol-updown-5m-1781821500,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0500,false,6,2,74.67,76,0.0657,69.4489,30.0000,39.4489,-0.001479,-0.000651,0.000048
1781821823012,1,sol-updown-5m-1781821800,armed_init,,UP,0.5350,0.4750,0.0600,0.0000,false,0,0,8.00,276,0.0614,69.3992,35.0000,34.3992,-0.000006,-0.000450,-0.000098
1781821824171,1,sol-updown-5m-1781821800,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0800,false,1,0,8.33,275,0.0614,69.3990,35.0000,34.3990,-0.000213,-0.000428,0.000022
1781821832393,1,sol-updown-5m-1781821800,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.0400,false,2,0,11.00,267,0.0614,69.3977,35.0000,34.3977,-0.000527,-0.000094,0.000297
1781821850758,1,sol-updown-5m-1781821800,mid_cross,UP,DOWN,0.4650,0.5350,0.0700,0.1700,false,3,0,17.00,249,0.0614,69.4074,35.0000,34.4074,0.000808,0.000364,-0.000192
