timestamp,window_id,slug,event,from_side,to_side,up_mid,down_mid,lead_gap,peak_prev_gap,is_significant,cross_count,significant_cross_count,time_pct,secs_to_end,current_atr,spot_price,ptb,ptb_delta_usd,spot_velocity,spot_smoothed_velocity,spot_acceleration
1781822262397,0,xrp-updown-5m-1781822100,armed_init,,UP,0.8650,0.1350,0.7300,0.0000,false,0,0,54.33,137,0.0010,,,,,,
1781822429928,1,xrp-updown-5m-1781822400,armed_init,,DOWN,0.4400,0.5650,0.1250,0.0000,false,0,0,10.00,270,0.0009,1.1466,1.1468,-0.0001,-0.000006,-0.000005,0.000000
1781822534438,1,xrp-updown-5m-1781822400,mid_cross,DOWN,UP,0.5250,0.5000,0.0250,0.3800,true,1,1,45.00,165,0.0008,1.1469,1.1468,0.0001,0.000027,0.000019,-0.000000
1781822580567,1,xrp-updown-5m-1781822400,mid_cross,UP,DOWN,0.4700,0.5300,0.0600,0.2550,true,2,2,60.33,119,0.0008,1.1469,1.1468,0.0001,-0.000003,-0.000010,-0.000006
1781822682629,1,xrp-updown-5m-1781822400,mid_cross,DOWN,UP,0.6850,0.3150,0.3700,0.5150,true,3,3,94.33,17,0.0008,1.1466,1.1468,-0.0001,0.000003,0.000002,0.000000
1781822690266,1,xrp-updown-5m-1781822400,mid_cross,UP,DOWN,0.4400,0.5600,0.1200,0.4300,true,4,4,97.00,9,0.0008,1.1469,1.1468,0.0001,0.000013,0.000015,-0.000001
1781822690757,1,xrp-updown-5m-1781822400,mid_cross,DOWN,UP,0.5650,0.4350,0.1300,0.1200,false,5,4,97.00,9,0.0008,1.1469,1.1468,0.0001,0.000014,0.000013,-0.000001
1781822695154,1,xrp-updown-5m-1781822400,mid_cross,UP,DOWN,0.3900,0.4750,0.0850,0.2500,true,6,5,98.67,4,0.0008,1.1468,1.1468,0.0000,0.000009,0.000003,-0.000000
1781822696819,1,xrp-updown-5m-1781822400,mid_cross,DOWN,UP,0.5250,0.4750,0.0500,0.3200,true,7,6,99.00,3,0.0008,1.1468,1.1468,0.0000,0.000009,0.000003,-0.000000
1781822723110,2,xrp-updown-5m-1781822700,armed_init,,DOWN,0.2000,0.8050,0.6050,0.0000,false,0,0,8.00,276,0.0007,1.1467,1.1468,-0.0001,-0.000006,-0.000005,-0.000003
1781823029557,3,xrp-updown-5m-1781823000,armed_init,,DOWN,0.4650,0.5050,0.0400,0.0000,false,0,0,10.00,270,0.0009,1.1468,1.1467,0.0001,0.000017,0.000007,-0.000003
1781823030038,3,xrp-updown-5m-1781823000,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.1100,false,1,0,10.33,269,0.0009,1.1468,1.1467,0.0001,0.000016,0.000006,-0.000001
1781823030839,3,xrp-updown-5m-1781823000,mid_cross,UP,DOWN,0.4350,0.4650,0.0300,0.0950,false,2,0,10.33,269,0.0009,1.1468,1.1467,0.0001,0.000009,0.000006,-0.000001
