timestamp,window_id,slug,action,side,amount,amount_kind,signal_shares,signal_usd_value,price,reason,executed,current_atr,secs_to_end,time_pct,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask,up_shares,down_shares,paired_shares,spent,returned,terminal_floor,terminal_floor_gap,mtm,unrealized_pnl
1781825348885,3,btc-updown-5m-1781825100,BUY,UP,3.00000000,usd,3.44827586,3.0000,0.8700,j_value_taker_up_fill_0.87_ask_0.88_gap_z_+1.49_tape_$448/43_xc13,true,21.9357,51,83.00,62800.7824,0.818493,0.863677,-0.066793,62770.7501,30.0324,0.047845,0.8700,0.8800,0.1300,0.1400,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781825349002,3,btc-updown-5m-1781825100,BUY,UP,3.00000000,usd,3.44827586,3.0000,0.8700,j_value_taker_up_fill_0.87_ask_0.88_gap_z_+1.50_tape_$438/41_xc13,true,21.9357,50,83.33,62800.8175,0.822976,0.797422,-0.066255,62770.7501,30.0674,0.047900,0.8700,0.8800,0.1300,0.1400,3.44827586,0.00000000,0.00000000,3.0000,0.0000,0.0000,-3.0000,3.0000,0.0000
1781825349104,3,btc-updown-5m-1781825100,BUY,UP,3.00000000,usd,3.44827586,3.0000,0.8700,j_value_taker_up_fill_0.87_ask_0.88_gap_z_+1.50_tape_$440/42_xc13,true,21.9357,50,83.33,62800.8175,0.822976,0.797422,-0.066255,62770.7501,30.0674,0.047900,0.8700,0.8800,0.1400,0.1500,6.89655172,0.00000000,0.00000000,6.0000,0.0000,0.0000,-6.0000,6.0000,0.0000
1781825374016,3,btc-updown-5m-1781825100,BUY,UP,3.00000000,usd,3.03030303,3.0000,0.9900,j_late_taker_up_fill_0.99_ask_0.99_gap_z_+2.67_tape_$3448/54_xc13,true,21.9357,25,91.67,62808.5713,0.406156,0.536833,-0.047794,62770.7501,37.8212,0.060253,0.9800,0.9900,0.0100,0.0200,10.34482759,0.00000000,0.00000000,9.0000,0.0000,0.0000,-9.0000,10.1379,1.1379
1781825374016,3,btc-updown-5m-1781825100,BUY,UP,3.00000000,usd,3.03030303,3.0000,0.9900,j_late_taker_up_fill_0.99_ask_0.99_gap_z_+2.67_tape_$3448/54_xc13,true,21.9357,25,91.67,62808.5713,0.406156,0.536833,-0.047794,62770.7501,37.8212,0.060253,0.9800,0.9900,0.0100,0.0200,10.34482759,0.00000000,0.00000000,9.0000,0.0000,0.0000,-9.0000,10.1379,1.1379
1781825374016,3,btc-updown-5m-1781825100,BUY,UP,3.00000000,usd,3.03030303,3.0000,0.9900,j_late_taker_up_fill_0.99_ask_0.99_gap_z_+2.67_tape_$3448/54_xc13,true,21.9357,25,91.67,62808.5713,0.406156,0.536833,-0.047794,62770.7501,37.8212,0.060253,0.9800,0.9900,0.0100,0.0200,16.40543365,0.00000000,0.00000000,15.0000,0.0000,0.0000,-15.0000,16.0773,1.0773
1781825374017,3,btc-updown-5m-1781825100,BUY,UP,3.00000000,usd,3.03030303,3.0000,0.9900,j_late_taker_up_fill_0.99_ask_0.99_gap_z_+2.67_tape_$3448/54_xc13,true,21.9357,25,91.67,62808.5713,0.406156,0.536833,-0.047794,62770.7501,37.8212,0.060253,0.9800,0.9900,0.0100,0.0200,16.40543365,0.00000000,0.00000000,15.0000,0.0000,0.0000,-15.0000,16.0773,1.0773
1781826499650,7,btc-updown-5m-1781826300,BUY,DOWN,3.00000000,usd,3.44827586,3.0000,0.8700,j_value_taker_down_fill_0.87_ask_0.88_gap_z_-1.07_tape_$587/33_xc0,true,22.2143,100,66.67,62815.5046,-0.577481,-0.314680,0.027347,62846.2137,-30.7091,-0.048864,0.1300,0.1400,0.8700,0.8800,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1781826499651,7,btc-updown-5m-1781826300,BUY,DOWN,3.00000000,usd,3.44827586,3.0000,0.8700,j_value_taker_down_fill_0.87_ask_0.88_gap_z_-1.07_tape_$604/34_xc0,true,22.2143,100,66.67,62815.5046,-0.577481,-0.314680,0.027347,62846.2137,-30.7091,-0.048864,0.1300,0.1400,0.8700,0.8800,0.00000000,6.89655172,0.00000000,6.0000,0.0000,0.0000,-6.0000,6.0000,0.0000
1781826874070,8,btc-updown-5m-1781826600,BUY,UP,3.00000000,usd,3.29670330,3.0000,0.9100,j_late_taker_up_fill_0.91_ask_0.91_gap_z_+1.08_tape_$97/11_xc4,true,28.5214,25,91.67,62871.8704,-0.002171,-0.027313,0.002374,62851.9602,19.9101,0.031678,0.9000,0.9100,0.0900,0.1000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
