timestamp,window_id,slug,cross_count,significant_cross_count,final_side,last_cross_atr
1781833800000,0,eth-updown-5m-1781833500,0,0,UP,0.9657142857143006
1781834099003,1,eth-updown-5m-1781833800,4,2,UP,0.8385714285714455
1781834399004,2,eth-updown-5m-1781834100,4,2,UP,0.9742857142857052
1781834699005,3,eth-updown-5m-1781834400,6,2,UP,0.9107142857142533
1781835501272,4,eth-updown-5m-1781834700,3,3,DOWN,0.954999999999976
1781836535199,6,eth-updown-5m-1781835300,0,0,DOWN,1.0057142857142642
1781836537096,8,eth-updown-5m-1781836200,0,0,UP,1.0057142857142642
1781836799097,9,eth-updown-5m-1781836500,4,4,UP,1.4585714285714337
1781837099094,10,eth-updown-5m-1781836800,2,1,DOWN,1.4042857142857201
1781837399096,11,eth-updown-5m-1781837100,0,0,DOWN,1.337857142857128
1781837699095,12,eth-updown-5m-1781837400,1,1,UP,1.3585714285714598
1781838730107,13,eth-updown-5m-1781837700,4,0,UP,1.5092857142857545
1781838732058,15,eth-updown-5m-1781838300,0,0,DOWN,1.5092857142857545
1781839797213,16,eth-updown-5m-1781838600,0,0,DOWN,1.5092857142857545
1781839800198,19,eth-updown-5m-1781839500,0,0,UP,1.5092857142857545
1781840248730,20,eth-updown-5m-1781839800,1,1,UP,3.1800000000000312
1781840399726,21,eth-updown-5m-1781840100,0,0,DOWN,3.1800000000000312
1781840699727,22,eth-updown-5m-1781840400,3,3,UP,1.7092857142857025
1781840999727,23,eth-updown-5m-1781840700,6,4,DOWN,1.7599999999999747
1781841299727,24,eth-updown-5m-1781841000,0,0,UP,1.7935714285713888
1781841599729,25,eth-updown-5m-1781841300,28,9,UP,1.4792857142857005
1781841899735,26,eth-updown-5m-1781841600,0,0,DOWN,1.4792857142857005
1781842199736,27,eth-updown-5m-1781841900,0,0,UP,1.6435714285714116
1781842499730,28,eth-updown-5m-1781842200,0,0,UP,1.9314285714285364
1781843699736,32,eth-updown-5m-1781843400,0,0,DOWN,1.6399999999999864
1781843999739,33,eth-updown-5m-1781843700,25,8,UP,1.6757142857142884
1781844299738,34,eth-updown-5m-1781844000,0,0,UP,1.5628571428571345
1781844599737,35,eth-updown-5m-1781844300,11,3,UP,1.2607142857142921
1781844899746,36,eth-updown-5m-1781844600,0,0,DOWN,1.3064285714285688
1781845199737,37,eth-updown-5m-1781844900,11,2,UP,1.6721428571428143
1781845499744,38,eth-updown-5m-1781845200,0,0,UP,1.8207142857142375
1781846099741,40,eth-updown-5m-1781845800,6,3,DOWN,1.3407142857143006
1781846399755,41,eth-updown-5m-1781846100,0,0,DOWN,1.3107142857142955
1781846699750,42,eth-updown-5m-1781846400,0,0,DOWN,1.2421428571428643
1781846999748,43,eth-updown-5m-1781846700,8,2,UP,1.4628571428571442
1781847299754,44,eth-updown-5m-1781847000,1,1,DOWN,1.4899999999999929
1781847599752,45,eth-updown-5m-1781847300,0,0,UP,1.5714285714285714
1781847899751,46,eth-updown-5m-1781847600,2,2,UP,1.5650000000000384
1781848199754,47,eth-updown-5m-1781847900,6,1,UP,1.432857142857139
1781848499752,48,eth-updown-5m-1781848200,13,5,UP,1.2049999999999759
1781848799755,49,eth-updown-5m-1781848500,8,3,UP,1.0357142857142858
1781849099757,50,eth-updown-5m-1781848800,9,3,UP,1.0064285714285657
1781849399759,51,eth-updown-5m-1781849100,13,4,DOWN,1.1099999999999812
1781849699759,52,eth-updown-5m-1781849400,1,1,UP,1.4149999999999636
1781849999761,53,eth-updown-5m-1781849700,1,1,DOWN,1.3792857142856942
1781850299762,54,eth-updown-5m-1781850000,6,2,UP,1.3628571428571052
1781850599761,55,eth-updown-5m-1781850300,3,2,UP,1.1842857142856766
1781850899766,56,eth-updown-5m-1781850600,3,2,DOWN,1.2349999999999974
1781851199763,57,eth-updown-5m-1781850900,0,0,DOWN,1.1500000000000097
1781851499768,58,eth-updown-5m-1781851200,0,0,UP,1.167857142857169
1781851799770,59,eth-updown-5m-1781851500,0,0,DOWN,1.1314285714285657
1781852099772,60,eth-updown-5m-1781851800,4,2,UP,1.1121428571428364
1781852399770,61,eth-updown-5m-1781852100,8,3,DOWN,1.2585714285714371
1781852699774,62,eth-updown-5m-1781852400,1,1,DOWN,1.1642857142857272
1781852999775,63,eth-updown-5m-1781852700,19,6,DOWN,1.0992857142856889
1781853299778,64,eth-updown-5m-1781853000,0,0,DOWN,1.072857142857109
1781853599777,65,eth-updown-5m-1781853300,4,3,DOWN,1.0364285714285546
1781853899780,66,eth-updown-5m-1781853600,5,1,UP,1.15142857142858
1781854199781,67,eth-updown-5m-1781853900,3,2,DOWN,1.3107142857142793
1781854499783,68,eth-updown-5m-1781854200,7,2,DOWN,1.4714285714285649
