timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner,strategy,utc_hour,time_pct_at_close,final_gap_z,final_atr,mid_cross_count,significant_mid_cross_count,entry_side,entry_reason,would_redeem_hold,h_market_win,h_salvaged,h_salvage_win
1781834399004,2,eth-updown-5m-1781834100,CLOSED_TIME,75.0000,76.6072,1.6072,1711.7788,1710.9016,UP,j_endgame,1,100.00,6.7901,1.0007,4,2,UP,j_final_seal_taker_up_fill_0.98_ask_0.98_gap_z_+1.36_phase_late_pnl_proj_+0.00_tape_$48/8_xc4,false,,,
1781836535198,6,eth-updown-5m-1781835300,CLOSED_TIME,67.5322,73.0189,5.4867,1708.2403,1710.1776,DOWN,j_endgame,2,100.00,-14.9211,1.0057,0,0,DOWN,j_final_seal_taker_down_fill_0.93_ask_0.93_gap_z_-1.54_phase_accumulate_pnl_proj_+0.00_tape_$29/7_xc0,false,,,
1781836799096,9,eth-updown-5m-1781836500,CLOSED_TIME,69.8174,129.6860,59.8685,1703.6422,1708.2403,DOWN,j_endgame,2,100.00,-24.4190,1.4586,4,4,DOWN,j_final_seal_taker_down_fill_0.57_ask_0.57_gap_z_-2.48_phase_accumulate_pnl_proj_+0.00_tape_$24/4_xc1,false,,,
1781837099094,10,eth-updown-5m-1781836800,CLOSED_TIME,64.0000,64.6465,0.6465,1702.4666,1703.6654,DOWN,j_endgame,2,100.00,-6.9404,1.3379,2,1,DOWN,j_final_seal_taker_down_fill_0.99_ask_0.99_gap_z_-1.36_phase_accumulate_pnl_proj_+0.00_tape_$37/8_xc2,false,,,
1781837399096,11,eth-updown-5m-1781837100,CLOSED_TIME,64.0000,64.6465,0.6465,1700.9187,1702.5978,DOWN,j_endgame,2,100.00,-9.5735,1.3586,0,0,DOWN,j_final_seal_taker_down_fill_0.99_ask_0.99_gap_z_-1.38_phase_late_pnl_proj_+0.00_tape_$35/6_xc0,false,,,
1781837699094,12,eth-updown-5m-1781837400,CLOSED_TIME,76.0000,75.7576,-0.2424,1705.1529,1700.8625,UP,j_endgame,2,100.00,21.2549,1.5636,1,1,DOWN,j_insurance_taker_down_fill_0.15_ask_0.15_gap_z_+0.13_phase_insurance_pnl_proj_+0.00_tape_$0/0_xc1,false,,,
1781840399726,21,eth-updown-5m-1781840100,CLOSED_TIME,68.1974,69.7037,1.5063,1692.1127,1697.5737,DOWN,j_endgame,3,100.00,-13.3021,3.1800,0,0,UP,j_insurance_taker_up_fill_0.11_ask_0.11_gap_z_+0.01_phase_insurance_pnl_proj_+0.00_tape_$3/3_xc0,false,,,
1781842199735,27,eth-updown-5m-1781841900,CLOSED_TIME,75.0000,97.5819,22.5819,1695.4266,1689.8939,UP,j_endgame,4,100.00,24.4195,1.7550,0,0,UP,j_final_seal_taker_up_fill_0.77_ask_0.77_gap_z_+1.89_phase_accumulate_pnl_proj_+0.00_tape_$0/0_xc0,true,,,
1781843399733,31,eth-updown-5m-1781843100,CLOSED_TIME,74.0499,145.1959,71.1460,1693.3174,1694.9986,DOWN,j_endgame,4,100.00,-7.4384,1.7507,0,0,,,false,,,
1781843699736,32,eth-updown-5m-1781843400,CLOSED_TIME,67.4771,69.2035,1.7263,1687.4010,1693.2867,DOWN,j_endgame,4,100.00,-27.0797,1.6836,0,0,DOWN,j_final_seal_taker_down_fill_0.97_ask_0.97_gap_z_-1.46_phase_accumulate_pnl_proj_+0.00_tape_$60/2_xc0,false,,,
1781844299737,34,eth-updown-5m-1781844000,CLOSED_TIME,64.0000,64.6465,0.6465,1690.5444,1687.7157,UP,j_endgame,4,100.00,12.9540,1.6914,0,0,UP,j_final_seal_taker_up_fill_0.99_ask_0.99_gap_z_+1.36_phase_accumulate_pnl_proj_+0.00_tape_$15/2_xc0,false,,,
1781844899744,36,eth-updown-5m-1781844600,CLOSED_TIME,58.0977,59.1681,1.0704,1686.9827,1691.7094,DOWN,j_endgame,4,100.00,-23.3309,1.5693,0,0,DOWN,j_final_seal_taker_down_fill_0.98_ask_0.99_gap_z_-1.58_phase_accumulate_pnl_proj_+0.00_tape_$1/1_xc0,false,,,
1781846399754,41,eth-updown-5m-1781846100,CLOSED_TIME,67.3831,69.8160,2.4329,1693.1156,1695.6428,DOWN,j_endgame,5,100.00,-16.6805,1.1736,0,0,DOWN,j_final_seal_taker_down_fill_0.96_ask_0.96_gap_z_-1.56_phase_accumulate_pnl_proj_+0.00_tape_$59/6_xc0,false,,,
1781846699747,42,eth-updown-5m-1781846400,CLOSED_TIME,45.6645,47.0483,1.3838,1691.7237,1693.1403,DOWN,j_endgame,5,100.00,-8.1067,1.3536,0,0,DOWN,j_final_seal_taker_down_fill_0.97_ask_0.98_gap_z_-1.38_phase_accumulate_pnl_proj_+0.00_tape_$11/3_xc0,false,,,
1781847299753,44,eth-updown-5m-1781847000,CLOSED_TIME,41.5504,43.2817,1.7313,1690.5746,1692.0496,DOWN,j_endgame,5,100.00,-7.0280,1.6257,1,1,DOWN,j_final_seal_taker_down_fill_0.96_ask_0.96_gap_z_-1.36_phase_accumulate_pnl_proj_+0.00_tape_$112/18_xc1,false,,,
1781847599752,45,eth-updown-5m-1781847300,CLOSED_TIME,43.3860,44.1850,0.7990,1692.8237,1690.8882,UP,j_endgame,5,100.00,8.8785,1.6886,0,0,UP,j_final_seal_taker_up_fill_0.98_ask_0.99_gap_z_+1.26_phase_accumulate_pnl_proj_+0.00_tape_$2/2_xc0,false,,,
1781849999761,53,eth-updown-5m-1781849700,CLOSED_TIME,61.4251,62.6787,1.2536,1697.6550,1698.2836,DOWN,j_endgame,6,100.00,-3.5914,1.3557,1,1,DOWN,j_final_seal_taker_down_fill_0.98_ask_0.98_gap_z_-1.97_phase_rescue_pnl_proj_+0.00_tape_$0/0_xc1,false,,,
