timestamp,window_id,slug,event,from_side,to_side,up_mid,down_mid,lead_gap,peak_prev_gap,is_significant,cross_count,significant_cross_count,time_pct,secs_to_end,current_atr,spot_price,ptb,ptb_delta_usd,spot_velocity,spot_smoothed_velocity,spot_acceleration
1781870346449,0,btc-updown-5m-1781870100,armed_init,,DOWN,0.1450,0.8550,0.7100,0.0000,false,0,0,82.33,53,24.6143,,,,,,
1781870423257,1,btc-updown-5m-1781870400,armed_init,,UP,0.5950,0.4150,0.1800,0.0000,false,0,0,8.00,276,23.4857,62578.5273,62569.5943,8.9330,0.307990,0.107651,-0.008400
1781870503496,1,btc-updown-5m-1781870400,mid_cross,UP,DOWN,0.5050,0.5150,0.0100,0.4950,true,1,1,34.67,196,22.5500,62580.8426,62569.5943,11.2483,-0.287980,-0.610151,-0.187484
1781870503497,1,btc-updown-5m-1781870400,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0100,false,2,1,34.67,196,22.5500,62580.8426,62569.5943,11.2483,-0.287980,-0.610151,-0.187484
1781870503497,1,btc-updown-5m-1781870400,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0100,false,3,1,34.67,196,22.5500,62580.8426,62569.5943,11.2483,-0.287980,-0.610151,-0.187484
1781870508844,1,btc-updown-5m-1781870400,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.1000,false,4,1,36.33,191,22.5500,62570.3054,62569.5943,0.7110,-1.203679,-1.046676,0.080137
1781870723559,2,btc-updown-5m-1781870700,armed_init,,DOWN,0.3850,0.6150,0.2300,0.0000,false,0,0,8.00,276,24.5786,62600.2849,62612.7151,-12.4303,-0.570250,-0.317786,0.026307
1781870988756,2,btc-updown-5m-1781870700,mid_cross,DOWN,UP,0.5500,0.4500,0.1000,0.9000,true,1,1,96.33,11,23.4000,62584.3648,62612.7151,-28.3504,0.074151,-0.068549,0.005132
1781870988771,2,btc-updown-5m-1781870700,mid_cross,UP,DOWN,0.5600,0.6350,0.0750,0.1200,false,2,1,96.33,11,23.4000,62584.3648,62612.7151,-28.3504,0.074151,-0.068549,0.005132
1781870988775,2,btc-updown-5m-1781870700,mid_cross,DOWN,UP,0.5650,0.4350,0.1300,0.0750,false,3,1,96.33,11,23.4000,62584.3648,62612.7151,-28.3504,0.074151,-0.068549,0.005132
1781871023018,3,btc-updown-5m-1781871000,armed_init,,DOWN,0.2450,0.7550,0.5100,0.0000,false,0,0,8.00,276,26.1000,62604.7049,62622.2622,-17.5573,-0.879872,-0.613566,-0.006704
1781871323042,4,btc-updown-5m-1781871300,armed_init,,DOWN,0.2750,0.7250,0.4500,0.0000,false,0,0,8.00,276,27.4500,62531.3538,62567.7192,-36.3655,-1.697854,-1.035785,0.189706
1781871623042,5,btc-updown-5m-1781871600,armed_init,,DOWN,0.4550,0.5350,0.0800,0.0000,false,0,0,8.00,276,34.0214,62472.7996,62468.1525,4.6470,0.220095,0.428087,0.264738
1781871706537,5,btc-updown-5m-1781871600,mid_cross,DOWN,UP,0.5200,0.4800,0.0400,0.2100,true,1,1,35.67,193,32.5429,62475.4298,62468.1525,7.2773,0.288552,0.289390,-0.406317
1781871707495,5,btc-updown-5m-1781871600,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.1400,false,2,1,36.00,192,32.5429,62475.8157,62468.1525,7.6631,0.252638,0.297103,0.007713
1781871724922,5,btc-updown-5m-1781871600,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.1800,false,3,1,41.67,175,32.5429,62475.0385,62468.1525,6.8859,0.068224,0.079704,0.059597
1781871860493,5,btc-updown-5m-1781871600,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.8000,true,4,2,87.00,39,32.5214,62487.3895,62468.1525,19.2369,-0.329466,-0.453664,-0.286973
1781871864126,5,btc-updown-5m-1781871600,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.1600,false,5,2,88.33,35,32.5214,62481.2184,62468.1525,13.0659,-0.649988,-0.779743,-0.217666
1781871865064,5,btc-updown-5m-1781871600,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0200,false,6,2,88.67,34,32.5214,62480.8199,62468.1525,12.6674,-0.670139,-0.749259,0.030484
1781871868710,5,btc-updown-5m-1781871600,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.1700,false,7,2,89.67,31,32.5214,62480.6015,62468.1525,12.4490,-0.585638,-0.546396,0.043483
1781871868716,5,btc-updown-5m-1781871600,mid_cross,UP,DOWN,0.5050,0.5250,0.0200,0.0100,false,8,2,89.67,31,32.5214,62480.6015,62468.1525,12.4490,-0.585638,-0.546396,0.043483
1781871868725,5,btc-updown-5m-1781871600,mid_cross,DOWN,UP,0.5300,0.4700,0.0600,0.0200,false,9,2,89.67,31,32.5214,62480.6015,62468.1525,12.4490,-0.585638,-0.546396,0.043483
1781871897288,5,btc-updown-5m-1781871600,mid_cross,UP,DOWN,0.4100,0.4350,0.0250,0.8550,true,10,3,99.33,2,32.5214,62480.3487,62468.1525,12.1962,-0.081918,-0.090924,0.053378
1781871898086,5,btc-updown-5m-1781871600,mid_cross,DOWN,UP,0.5150,0.5000,0.0150,0.5900,true,11,4,99.67,1,32.5214,62480.3638,62468.1525,12.2112,-0.080670,-0.075874,0.006408
1781871898098,5,btc-updown-5m-1781871600,mid_cross,UP,DOWN,0.4550,0.5000,0.0450,0.0150,false,12,4,99.67,1,32.5214,62480.3638,62468.1525,12.2112,-0.080670,-0.075874,0.006408
1781871898115,5,btc-updown-5m-1781871600,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0450,false,13,4,99.67,1,32.5214,62480.3638,62468.1525,12.2112,-0.080670,-0.075874,0.006408
1781871898141,5,btc-updown-5m-1781871600,mid_cross,UP,DOWN,0.5050,0.6450,0.1400,0.0100,false,14,4,99.67,1,32.5214,62480.3638,62468.1525,12.2112,-0.080670,-0.075874,0.006408
1781871898174,5,btc-updown-5m-1781871600,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.1450,false,15,4,99.67,1,32.5214,62480.3638,62468.1525,12.2112,-0.080670,-0.075874,0.006408
1781871898218,5,btc-updown-5m-1781871600,mid_cross,UP,DOWN,0.4700,0.5150,0.0450,0.0150,false,16,4,99.67,1,32.5214,62480.3638,62468.1525,12.2112,-0.080670,-0.075874,0.006408
1781871923013,6,btc-updown-5m-1781871900,armed_init,,DOWN,0.4950,0.5050,0.0100,0.0000,false,0,0,8.00,276,31.6214,62471.0775,62474.8685,-3.7911,-0.177353,-0.313573,-0.030780
1781871924392,6,btc-updown-5m-1781871900,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,false,1,0,8.33,275,31.6214,62471.1574,62474.8685,-3.7111,-0.177844,-0.258990,0.030190
1781871929437,6,btc-updown-5m-1781871900,mid_cross,UP,DOWN,0.5000,0.5100,0.0100,0.0600,false,2,0,10.00,270,31.6214,62475.0570,62474.8685,0.1885,0.006085,0.095716,0.003483
1781871966397,6,btc-updown-5m-1781871900,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.2200,true,3,1,22.33,233,32.0929,62470.6460,62474.8685,-4.2225,0.114798,0.147253,0.059298
1781871966495,6,btc-updown-5m-1781871900,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0650,false,4,1,22.33,233,32.0929,62470.6460,62474.8685,-4.2225,0.114798,0.147253,0.059298
1781871966496,6,btc-updown-5m-1781871900,mid_cross,DOWN,UP,0.5450,0.5050,0.0400,0.0100,false,5,1,22.33,233,32.0929,62470.6460,62474.8685,-4.2225,0.114798,0.147253,0.059298
1781871976778,6,btc-updown-5m-1781871900,mid_cross,UP,DOWN,0.4950,0.5150,0.0200,0.1400,false,6,1,25.67,223,32.0929,62476.9852,62474.8685,2.1167,0.456666,0.368825,-0.015999
1781871977227,6,btc-updown-5m-1781871900,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,false,7,1,26.00,222,32.0929,62477.1009,62474.8685,2.2323,0.466609,0.348583,-0.020242
1781871980878,6,btc-updown-5m-1781871900,mid_cross,UP,DOWN,0.5050,0.5150,0.0100,0.0600,false,8,1,27.00,219,32.0929,62476.3938,62474.8685,1.5252,0.429675,0.223094,-0.022344
1781872011660,6,btc-updown-5m-1781871900,mid_cross,DOWN,UP,0.5150,0.5050,0.0100,0.0650,false,9,1,37.33,188,32.0929,62476.1398,62474.8685,1.2713,0.060165,0.050685,-0.003989
1781872223160,7,btc-updown-5m-1781872200,armed_init,,UP,0.5350,0.4650,0.0700,0.0000,false,0,0,8.00,276,25.8214,62489.7487,62501.1104,-11.3618,-0.400545,-0.119280,0.059068
1781872243343,7,btc-updown-5m-1781872200,mid_cross,UP,DOWN,0.5050,0.5250,0.0200,0.1800,false,1,0,14.67,256,25.8214,62505.2473,62501.1104,4.1368,0.294033,0.127298,-0.016726
