timestamp,window_id,slug,event,from_side,to_side,up_mid,down_mid,lead_gap,peak_prev_gap,is_significant,cross_count,significant_cross_count,time_pct,secs_to_end,current_atr,spot_price,ptb,ptb_delta_usd,spot_velocity,spot_smoothed_velocity,spot_acceleration
1781903159367,0,eth-updown-5m-1781903100,armed_init,,DOWN,0.3350,0.6650,0.3300,0.0000,false,0,0,20.00,240,1.1371,,,,,,
1781903229125,0,eth-updown-5m-1781903100,mid_cross,DOWN,UP,0.5350,0.4650,0.0700,0.4600,true,1,1,43.33,170,1.1393,1704.6216,1704.1097,0.5120,0.006482,0.005191,-0.000385
1781903254242,0,eth-updown-5m-1781903100,mid_cross,UP,DOWN,0.4850,0.5050,0.0200,0.1700,false,2,1,51.67,145,1.1393,1704.7322,1704.1097,0.6225,-0.001128,0.000123,0.000240
1781903260254,0,eth-updown-5m-1781903100,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.2000,false,3,1,53.67,139,1.1393,1704.5440,1704.1097,0.4343,-0.011914,-0.011590,0.001053
1781903423085,1,eth-updown-5m-1781903400,armed_init,,UP,0.5250,0.4750,0.0500,0.0000,false,0,0,8.00,276,1.1050,1705.7993,1705.5441,0.2553,0.003708,0.000256,-0.001992
1781903723367,2,eth-updown-5m-1781903700,armed_init,,DOWN,0.2950,0.7150,0.4200,0.0000,false,0,0,8.00,276,0.8693,1706.0588,1706.8665,-0.8077,-0.029094,-0.013932,0.001722
1781904023237,3,eth-updown-5m-1781904000,armed_init,,DOWN,0.4600,0.5350,0.0750,0.0000,false,0,0,8.00,276,0.7093,1706.0847,1706.0741,0.0106,0.000443,-0.000340,-0.000073
1781904325230,4,eth-updown-5m-1781904300,armed_init,,DOWN,0.1400,0.8550,0.7150,0.0000,false,0,0,8.67,274,0.6800,1703.3615,1704.7107,-1.3492,-0.049130,-0.045706,-0.025644
1781904623546,5,eth-updown-5m-1781904600,armed_init,,DOWN,0.4050,0.5950,0.1900,0.0000,false,0,0,8.00,276,0.6443,1703.2892,1703.2735,0.0157,-0.000072,-0.000566,-0.000198
1781904634188,5,eth-updown-5m-1781904600,mid_cross,DOWN,UP,0.5150,0.5000,0.0150,0.2000,false,1,0,11.67,265,0.6443,1703.0076,1703.2735,-0.2659,-0.014984,-0.011206,0.000312
1781904644428,5,eth-updown-5m-1781904600,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0950,false,2,0,15.00,255,0.6443,1703.3235,1703.2735,0.0500,0.011364,0.009682,-0.000390
1781904645192,5,eth-updown-5m-1781904600,mid_cross,DOWN,UP,0.5200,0.4800,0.0400,0.0900,false,3,0,15.33,254,0.6443,1703.3457,1703.2735,0.0721,0.015319,0.010680,0.000998
1781904679331,5,eth-updown-5m-1781904600,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.1200,false,4,0,26.67,220,0.6357,1703.3892,1703.2735,0.1157,0.005475,0.007127,-0.000624
1781904686679,5,eth-updown-5m-1781904600,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,false,5,0,29.00,213,0.6357,1703.2892,1703.2735,0.0157,0.002242,-0.001292,0.000062
1781904793525,5,eth-updown-5m-1781904600,mid_cross,UP,DOWN,0.4900,0.5100,0.0200,0.6600,true,6,1,64.67,106,0.6443,1703.3209,1703.2735,0.0474,-0.027254,-0.017193,0.001458
1781904855482,5,eth-updown-5m-1781904600,mid_cross,DOWN,UP,0.5600,0.5450,0.0150,0.1600,false,7,1,85.33,44,0.6343,1703.1965,1703.2735,-0.0770,-0.001312,-0.001276,0.000113
1781904856198,5,eth-updown-5m-1781904600,mid_cross,UP,DOWN,0.4450,0.4850,0.0400,0.3700,true,8,2,85.67,43,0.6343,1703.2075,1703.2735,-0.0661,-0.001004,-0.000243,0.000516
1781904926404,6,eth-updown-5m-1781904900,armed_init,,DOWN,0.4450,0.5550,0.1100,0.0000,false,0,0,9.00,273,0.6743,1702.8382,1702.9020,-0.0638,0.000071,-0.003277,0.000265
1781904938561,6,eth-updown-5m-1781904900,mid_cross,DOWN,UP,0.5250,0.5000,0.0250,0.1200,false,1,0,13.00,261,0.6743,1702.8462,1702.9020,-0.0558,0.001564,-0.000218,0.000299
1781904980077,6,eth-updown-5m-1781904900,mid_cross,UP,DOWN,0.4550,0.4650,0.0100,0.1000,false,2,0,27.00,219,0.5964,1703.0303,1702.9020,0.1283,0.001728,0.002233,-0.000194
1781905012493,6,eth-updown-5m-1781904900,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.2000,false,3,0,37.67,187,0.5964,1702.6940,1702.9020,-0.2080,-0.002233,-0.003294,0.000217
1781905023137,6,eth-updown-5m-1781904900,mid_cross,UP,DOWN,0.4900,0.5100,0.0200,0.1500,false,4,0,41.33,176,0.5657,1702.9553,1702.9020,0.0533,0.013205,0.009539,-0.001728
1781905079504,6,eth-updown-5m-1781904900,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.1600,false,5,0,60.00,120,0.5550,1702.8488,1702.9020,-0.0532,0.002888,0.002294,-0.000149
1781905141523,6,eth-updown-5m-1781904900,mid_cross,UP,DOWN,0.4200,0.4850,0.0650,0.8200,true,6,1,80.67,58,0.5886,1702.9658,1702.9020,0.0638,-0.019153,-0.012305,0.001069
1781905223280,7,eth-updown-5m-1781905200,armed_init,,UP,0.6950,0.3050,0.3900,0.0000,false,0,0,8.00,276,0.5957,1702.2522,1701.5498,0.7024,0.029967,0.018882,-0.004625
