timestamp,window_id,slug,cross_count,significant_cross_count,final_side,last_cross_atr
1781903399949,0,btc-updown-5m-1781903100,1,1,UP,29.128571428569558
1781903699956,1,btc-updown-5m-1781903400,0,0,UP,29.61428571428457
1781903999954,2,btc-updown-5m-1781903700,0,0,DOWN,23.621428571426804
1781904299958,3,btc-updown-5m-1781904000,4,0,DOWN,16.93571428571418
1781904599960,4,btc-updown-5m-1781904300,0,0,DOWN,18.09285714285735
1781904899961,5,btc-updown-5m-1781904600,8,2,DOWN,18.671428571429196
1781905199963,6,btc-updown-5m-1781904900,12,4,DOWN,19.36428571428457
1781905499965,7,btc-updown-5m-1781905200,3,2,DOWN,19.321428571427532
1781905799968,8,btc-updown-5m-1781905500,2,1,UP,23.92857142857039
1781906099968,9,btc-updown-5m-1781905800,10,0,DOWN,25.821428571428573
1781906399971,10,btc-updown-5m-1781906100,7,3,UP,19.5214285714293
1781906699973,11,btc-updown-5m-1781906400,2,2,UP,19.457142857142962
1781906999976,12,btc-updown-5m-1781906700,1,1,UP,19.014285714285506
1781907299976,13,btc-updown-5m-1781907000,9,3,UP,23.035714285714285
1781907599979,14,btc-updown-5m-1781907300,0,0,UP,20.057142857143067
1781907899980,15,btc-updown-5m-1781907600,0,0,UP,18.192857142857456
1781908199979,16,btc-updown-5m-1781907900,5,1,DOWN,22.535714285713766
1781908499981,17,btc-updown-5m-1781908200,15,5,UP,20.571428571428573
1781908799983,18,btc-updown-5m-1781908500,7,6,UP,17.93571428571418
1781909099984,19,btc-updown-5m-1781908800,9,2,UP,25.40714285714213
